,Spanish,English,Audio
0,La advertencia fue ignorada por muchos residentes.,The warning was ignored by many residents.,./Sentences/Seguridad/audio/0_Seguridad_audio.mp3
1,El aeropuerto está lleno de gente que espera sus vuelos.,The airport is crowded with people waiting for their flights.,./Sentences/Seguridad/audio/1_Seguridad_audio.mp3
2,El agente de seguridad revisó minuciosamente el equipaje de mano.,The security agent thoroughly checked the carry-on luggage.,./Sentences/Seguridad/audio/2_Seguridad_audio.mp3
3,La alerta de tsunami obligó a la evacuación de la zona costera.,The tsunami alert prompted the evacuation of the coastal area.,./Sentences/Seguridad/audio/3_Seguridad_audio.mp3
4,La amenaza de bomba provocó la evacuación del edificio.,The bomb threat led to the evacuation of the building.,./Sentences/Seguridad/audio/4_Seguridad_audio.mp3
5,El arma fue confiscada por la policía durante el allanamiento.,The weapon was confiscated by the police during the raid.,./Sentences/Seguridad/audio/5_Seguridad_audio.mp3
6,El sospechoso fue arrestado en su residencia.,The suspect was arrested at his residence.,./Sentences/Seguridad/audio/6_Seguridad_audio.mp3
7,El ataque dejó varios heridos y daños materiales.,The attack left several injured and material damages.,./Sentences/Seguridad/audio/7_Seguridad_audio.mp3
8,El ataque terrorista conmocionó a toda la nación.,The terrorist attack shocked the entire nation.,./Sentences/Seguridad/audio/8_Seguridad_audio.mp3
9,El atentado causó conmoción en la comunidad internacional.,The bombing caused shock in the international community.,./Sentences/Seguridad/audio/9_Seguridad_audio.mp3
10,La balacera ocurrió en plena luz del día.,The shootout happened in broad daylight.,./Sentences/Seguridad/audio/10_Seguridad_audio.mp3
11,El blanco del ataque logró escapar ileso.,The target of the attack managed to escape unharmed.,./Sentences/Seguridad/audio/11_Seguridad_audio.mp3
12,Los bomberos llegaron rápidamente al lugar del incendio.,The firefighters quickly arrived at the scene of the fire.,./Sentences/Seguridad/audio/12_Seguridad_audio.mp3
13,La búsqueda del fugitivo se extendió por varios días.,The search for the fugitive extended over several days.,./Sentences/Seguridad/audio/13_Seguridad_audio.mp3
14,El criminal fue condenado a cadena perpetua por sus crímenes.,The criminal was sentenced to life imprisonment for his crimes.,./Sentences/Seguridad/audio/14_Seguridad_audio.mp3
15,La captura del delincuente fue el resultado de una larga investigación.,The capture of the criminal was the result of a lengthy investigation.,./Sentences/Seguridad/audio/15_Seguridad_audio.mp3
16,La cárcel alberga a reclusos de diferentes perfiles delictivos.,The prison houses inmates with different criminal profiles.,./Sentences/Seguridad/audio/16_Seguridad_audio.mp3
17,Los cargos presentados en su contra son muy graves.,The charges filed against him are very serious.,./Sentences/Seguridad/audio/17_Seguridad_audio.mp3
18,El cartel del narcotráfico opera en varias regiones del país.,The drug trafficking cartel operates in several regions of the country.,./Sentences/Seguridad/audio/18_Seguridad_audio.mp3
19,El centro de detención está abarrotado de personas detenidas.,The detention center is crowded with detained individuals.,./Sentences/Seguridad/audio/19_Seguridad_audio.mp3
20,El cibercriminal hackeó la base de datos de la empresa.,The cybercriminal hacked the company's database.,./Sentences/Seguridad/audio/20_Seguridad_audio.mp3
21,El ciberdelincuente fue arrestado por robar información confidencial.,The cybercriminal was arrested for stealing confidential information.,./Sentences/Seguridad/audio/21_Seguridad_audio.mp3
22,El ciberterrorismo es una amenaza creciente en el mundo digital.,Cyberterrorism is a growing threat in the digital world.,./Sentences/Seguridad/audio/22_Seguridad_audio.mp3
23,El ciudadano denunció el fraude a las autoridades.,The citizen reported the fraud to the authorities.,./Sentences/Seguridad/audio/23_Seguridad_audio.mp3
24,Es importante combatir el crimen organizado en todas sus formas.,It is important to combat organized crime in all its forms.,./Sentences/Seguridad/audio/24_Seguridad_audio.mp3
25,El cómplice fue acusado de ayudar en el robo a mano armada.,The accomplice was accused of aiding in the armed robbery.,./Sentences/Seguridad/audio/25_Seguridad_audio.mp3
26,La condena por fraude fiscal fue de cinco años de prisión.,The sentence for tax fraud was five years in prison.,./Sentences/Seguridad/audio/26_Seguridad_audio.mp3
27,La policía logró confiscar la mercancía ilegal en el operativo.,The police managed to confiscate the illegal merchandise in the operation.,./Sentences/Seguridad/audio/27_Seguridad_audio.mp3
28,La conspiración para cometer el delito fue descubierta por las autoridades.,The conspiracy to commit the crime was uncovered by the authorities.,./Sentences/Seguridad/audio/28_Seguridad_audio.mp3
29,El contacto con testigos clave es fundamental para resolver el caso.,Contact with key witnesses is essential to solve the case.,./Sentences/Seguridad/audio/29_Seguridad_audio.mp3
30,Los periodistas corren peligro al investigar ciertos crímenes.,Journalists are in danger when investigating certain crimes.,./Sentences/Seguridad/audio/30_Seguridad_audio.mp3
31,La corte dictaminó una sentencia ejemplar para el acusado.,The court issued an exemplary sentence for the accused.,./Sentences/Seguridad/audio/31_Seguridad_audio.mp3
32,El crimen de robo a mano armada fue captado por las cámaras de seguridad.,The crime of armed robbery was captured by the security cameras.,./Sentences/Seguridad/audio/32_Seguridad_audio.mp3
33,Es deber de todos cumplir la ley y respetar las normativas.,It is everyone's duty to comply with the law and respect regulations.,./Sentences/Seguridad/audio/33_Seguridad_audio.mp3
34,El daño causado por el fraude afectó a muchas personas.,The damage caused by the fraud affected many people.,./Sentences/Seguridad/audio/34_Seguridad_audio.mp3
35,Los datos recopilados son fundamentales para la investigación.,The data collected is essential for the investigation.,./Sentences/Seguridad/audio/35_Seguridad_audio.mp3
36,La declaración del testigo fue crucial para resolver el caso.,The witness's statement was crucial to solve the case.,./Sentences/Seguridad/audio/36_Seguridad_audio.mp3
37,La defensa presentó pruebas contundentes a favor del acusado.,The defense presented compelling evidence in favor of the accused.,./Sentences/Seguridad/audio/37_Seguridad_audio.mp3
38,El delincuente fue capturado en el lugar del crimen.,The criminal was captured at the crime scene.,./Sentences/Seguridad/audio/38_Seguridad_audio.mp3
39,El delito de robo con violencia conlleva una pena severa.,The crime of robbery with violence carries a severe penalty.,./Sentences/Seguridad/audio/39_Seguridad_audio.mp3
40,El testigo decidió denunciar el crimen a las autoridades.,The witness decided to report the crime to the authorities.,./Sentences/Seguridad/audio/40_Seguridad_audio.mp3
41,Los exploradores parecen desaparecer en la selva misteriosamente.,The explorers seem to disappear in the jungle mysteriously.,./Sentences/Seguridad/audio/41_Seguridad_audio.mp3
42,La policía está buscando al desaparecido desde hace una semana.,The police have been searching for the missing person for a week.,./Sentences/Seguridad/audio/42_Seguridad_audio.mp3
43,Los desastres naturales pueden causar mucha destrucción en las comunidades.,Natural disasters can cause a lot of destruction in communities.,./Sentences/Seguridad/audio/43_Seguridad_audio.mp3
44,El detenido fue llevado a la comisaría para ser interrogado.,The detainee was taken to the police station for questioning.,./Sentences/Seguridad/audio/44_Seguridad_audio.mp3
45,El director de la policía nacional anunció nuevas medidas de seguridad.,The director of the national police announced new security measures.,./Sentences/Seguridad/audio/45_Seguridad_audio.mp3
46,El documento oficial debe ser presentado en la oficina de inmigración.,The official document must be presented at the immigration office.,./Sentences/Seguridad/audio/46_Seguridad_audio.mp3
47,La droga ilegal fue confiscada en el puerto.,The illegal drug was confiscated at the port.,./Sentences/Seguridad/audio/47_Seguridad_audio.mp3
48,La edad no debería ser un factor determinante en la contratación.,Age should not be a determining factor in hiring.,./Sentences/Seguridad/audio/48_Seguridad_audio.mp3
49,Los efectivos del orden público están patrullando la zona.,Law enforcement officers are patrolling the area.,./Sentences/Seguridad/audio/49_Seguridad_audio.mp3
50,El enemigo juró venganza contra el héroe de la historia.,The enemy swore revenge against the hero of the story.,./Sentences/Seguridad/audio/50_Seguridad_audio.mp3
51,El equipo de seguridad está monitoreando las cámaras de vigilancia.,The security team is monitoring the surveillance cameras.,./Sentences/Seguridad/audio/51_Seguridad_audio.mp3
52,El espía logró infiltrarse en la base enemiga sin ser detectado.,The spy managed to infiltrate the enemy base without being detected.,./Sentences/Seguridad/audio/52_Seguridad_audio.mp3
53,El espionaje es una actividad ilegal en muchos países.,Espionage is an illegal activity in many countries.,./Sentences/Seguridad/audio/53_Seguridad_audio.mp3
54,El estafador fue arrestado por fraude financiero.,The swindler was arrested for financial fraud.,./Sentences/Seguridad/audio/54_Seguridad_audio.mp3
55,Es importante estar preparado para cualquier emergencia.,It's important to be prepared for any emergency.,./Sentences/Seguridad/audio/55_Seguridad_audio.mp3
56,La falsificación de documentos es un delito grave.,Document forgery is a serious crime.,./Sentences/Seguridad/audio/56_Seguridad_audio.mp3
57,El fiscal presentó pruebas contundentes en el juicio.,The prosecutor presented compelling evidence in the trial.,./Sentences/Seguridad/audio/57_Seguridad_audio.mp3
58,Las fuerzas armadas participaron en una misión de rescate en el extranjero.,The armed forces participated in a rescue mission abroad.,./Sentences/Seguridad/audio/58_Seguridad_audio.mp3
59,El grupo terrorista atacó el edificio gubernamental.,The terrorist group attacked the government building.,./Sentences/Seguridad/audio/59_Seguridad_audio.mp3
60,El guardacostas rescató a los náufragos en alta mar.,The coast guard rescued the shipwreck survivors at sea.,./Sentences/Seguridad/audio/60_Seguridad_audio.mp3
61,La guerra trajo consigo mucha destrucción y sufrimiento.,The war brought a lot of destruction and suffering.,./Sentences/Seguridad/audio/61_Seguridad_audio.mp3
62,El helicóptero sobrevoló la zona afectada por el desastre natural.,The helicopter flew over the area affected by the natural disaster.,./Sentences/Seguridad/audio/62_Seguridad_audio.mp3
63,El herido fue trasladado de inmediato al hospital.,The injured person was immediately taken to the hospital.,./Sentences/Seguridad/audio/63_Seguridad_audio.mp3
64,El historial del paciente revelaba problemas de salud anteriores.,The patient's medical history revealed previous health issues.,./Sentences/Seguridad/audio/64_Seguridad_audio.mp3
65,El historial crediticio del solicitante determinará su elegibilidad para el préstamo.,The applicant's credit history will determine their eligibility for the loan.,./Sentences/Seguridad/audio/65_Seguridad_audio.mp3
66,El hospital atiende a cientos de pacientes diariamente.,The hospital attends to hundreds of patients daily.,./Sentences/Seguridad/audio/66_Seguridad_audio.mp3
67,El tráfico de drogas es ilegal en muchos países.,Drug trafficking is illegal in many countries.,./Sentences/Seguridad/audio/67_Seguridad_audio.mp3
68,El contrabando de mercancías se realiza ilegalmente en la frontera.,Smuggling of goods is done illegally at the border.,./Sentences/Seguridad/audio/68_Seguridad_audio.mp3
69,El incendio consumió gran parte del bosque.,The fire consumed a large part of the forest.,./Sentences/Seguridad/audio/69_Seguridad_audio.mp3
