,Spanish,English
0,abandonar,to abandon
1,adaptarse,to fit in
2,ahogarse,to drown
3,asimilarse,to assimilate
4,cruzar,to cross
5,denunciar,to denounce
6,detener,to detain
7,discriminar,to discriminate
8,el abandono,neglect
9,el asilo,asylum
10,el campamento de refugiados,refugee camp
11,el choque cultural,cultural shock
12,el indocumentado,undocumented (immigrant/worker)
13,el muro,wall
14,el permiso de residencia,residence permit
15,el permiso de trabajo,work permit
16,el prejuicio,bias
17,el refugiado,refugee
18,el riesgo,risk
19,el sacrificio,sacrifice
20,el soñador,dreamer
21,el sueño,dream
22,el/la inmigrante,immigrant
23,el/la policía,police officer
24,el/la racista,racist
25,emigrar,to emigrate
26,huir,to flee
27,inmigrar,to migrate
28,la convivencia,coexistence
29,la deportación,deportation
30,la detención,detention
31,la elegibilidad,eligibility
32,la esperanza,hope
33,la exención,waiver
34,la fuga de cerebros,brain drain
35,la oleada,wave
36,Servicio de Inmigración y Control de Aduanas de Estados Unidos,ICE (U.S. Immigration and Customs Enforcement)
37,la patrulla fronteriza,border patrol
38,la solicitud,petition/application
39,la tortura,torture
40,la vigilancia,surveillance
41,naufragar,to be shipwrecked
42,refugiarse,to take refuge
43,reunir los requisitos,meet the requirements
44,la coexistencia,coexistence/living together
45,la tolerancia,tolerance
46,el crisol,melting pot
47,Dar la bienvenida,To welcome
48,el cupo,capacity
49,el hogar de acogida temporal,foster care home
