,Spanish,English,Audio
0,La superpotencia ejerce influencia en las decisiones económicas globales.,The superpower exerts influence on global economic decisions.,./Sentences/Papel de EEUU en el mundo/audio/0_Papel de EEUU en el mundo_audio.mp3
1,El cine es un reflejo de la cultura y la sociedad de un país.,Cinema is a reflection of a country's culture and society.,./Sentences/Papel de EEUU en el mundo/audio/1_Papel de EEUU en el mundo_audio.mp3
2,Los deportistas entrenan con dedicación para competir en las olimpiadas.,Athletes train with dedication to compete in the Olympics.,./Sentences/Papel de EEUU en el mundo/audio/2_Papel de EEUU en el mundo_audio.mp3
3,Los políticos deben trabajar juntos para el bienestar de la nación.,Politicians must work together for the welfare of the nation.,./Sentences/Papel de EEUU en el mundo/audio/3_Papel de EEUU en el mundo_audio.mp3
4,El altruismo es una cualidad admirable en las personas.,Altruism is an admirable quality in people.,./Sentences/Papel de EEUU en el mundo/audio/4_Papel de EEUU en el mundo_audio.mp3
5,Los organismos internacionales juegan un papel crucial en la gestión de crisis globales.,International organizations play a crucial role in managing global crises.,./Sentences/Papel de EEUU en el mundo/audio/5_Papel de EEUU en el mundo_audio.mp3
6,La exportación de productos agrícolas es vital para la economía del país.,The export of agricultural products is vital for the country's economy.,./Sentences/Papel de EEUU en el mundo/audio/6_Papel de EEUU en el mundo_audio.mp3
7,Los aliados se reunieron para discutir estrategias de defensa comunes.,Allies met to discuss common defense strategies.,./Sentences/Papel de EEUU en el mundo/audio/7_Papel de EEUU en el mundo_audio.mp3
8,La cumbre entre los líderes mundiales se centrará en el cambio climático.,The summit between world leaders will focus on climate change.,./Sentences/Papel de EEUU en el mundo/audio/8_Papel de EEUU en el mundo_audio.mp3
9,La fundación ofrece becas a estudiantes de bajos recursos.,The foundation offers scholarships to low-income students.,./Sentences/Papel de EEUU en el mundo/audio/9_Papel de EEUU en el mundo_audio.mp3
10,Las Fuerzas Armadas garantizan la seguridad y defensa del territorio nacional.,The Armed Forces ensure the security and defense of the national territory.,./Sentences/Papel de EEUU en el mundo/audio/10_Papel de EEUU en el mundo_audio.mp3
11,La arquitectura de la ciudad refleja su historia y su evolución cultural.,The architecture of the city reflects its history and cultural evolution.,./Sentences/Papel de EEUU en el mundo/audio/11_Papel de EEUU en el mundo_audio.mp3
12,El gobierno debe respaldar a las pequeñas empresas para fomentar el crecimiento económico.,The government must support small businesses to encourage economic growth.,./Sentences/Papel de EEUU en el mundo/audio/12_Papel de EEUU en el mundo_audio.mp3
13,El programa de apoyo a la infancia ha reducido significativamente la desnutrición.,The child support program has significantly reduced malnutrition.,./Sentences/Papel de EEUU en el mundo/audio/13_Papel de EEUU en el mundo_audio.mp3
14,La ayuda económica a los países en desarrollo contribuye a su estabilidad.,Economic aid to developing countries contributes to their stability.,./Sentences/Papel de EEUU en el mundo/audio/14_Papel de EEUU en el mundo_audio.mp3
15,Los intereses nacionales deben equilibrarse con los compromisos internacionales.,National interests must be balanced with international commitments.,./Sentences/Papel de EEUU en el mundo/audio/15_Papel de EEUU en el mundo_audio.mp3
16,La guerra ha dejado consecuencias devastadoras en la población civil.,The war has left devastating consequences for the civilian population.,./Sentences/Papel de EEUU en el mundo/audio/16_Papel de EEUU en el mundo_audio.mp3
17,La soberanía de un país debe ser respetada por todas las naciones.,The sovereignty of a country must be respected by all nations.,./Sentences/Papel de EEUU en el mundo/audio/17_Papel de EEUU en el mundo_audio.mp3
18,La intervención humanitaria puede salvar vidas en zonas de conflicto.,Humanitarian intervention can save lives in conflict zones.,./Sentences/Papel de EEUU en el mundo/audio/18_Papel de EEUU en el mundo_audio.mp3
19,El estado de derecho es fundamental para una sociedad justa y equitativa.,The rule of law is fundamental for a just and equitable society.,./Sentences/Papel de EEUU en el mundo/audio/19_Papel de EEUU en el mundo_audio.mp3
