,Spanish,English,Audio
0,El acuerdo fue firmado por ambas partes.,The agreement was signed by both parties.,./Sentences/Vocabulario General /audio/0_Vocabulario General _audio.mp3
1,La administración está implementando nuevas políticas.,The administration is implementing new policies.,./Sentences/Vocabulario General /audio/1_Vocabulario General _audio.mp3
2,La agencia está trabajando en proyectos de desarrollo sostenible.,The agency is working on sustainable development projects.,./Sentences/Vocabulario General /audio/2_Vocabulario General _audio.mp3
3,La agencia de Desarrollo Internacional está proporcionando ayuda humanitaria.,The International Development Agency is providing humanitarian aid.,./Sentences/Vocabulario General /audio/3_Vocabulario General _audio.mp3
4,La agenda para la reunión ya está establecida.,The agenda for the meeting is already set.,./Sentences/Vocabulario General /audio/4_Vocabulario General _audio.mp3
5,El agregado diplomático está promoviendo la cooperación entre los países.,The diplomatic attaché is promoting cooperation between the countries.,./Sentences/Vocabulario General /audio/5_Vocabulario General _audio.mp3
6,El análisis de mercado reveló nuevas oportunidades.,The market analysis revealed new opportunities.,./Sentences/Vocabulario General /audio/6_Vocabulario General _audio.mp3
7,El anfitrión dio la bienvenida a los invitados.,The host welcomed the guests.,./Sentences/Vocabulario General /audio/7_Vocabulario General _audio.mp3
8,El apoyo de la comunidad es fundamental para el éxito del proyecto.,Community support is essential for the project's success.,./Sentences/Vocabulario General /audio/8_Vocabulario General _audio.mp3
9,El ascenso en la empresa fue el resultado de su arduo trabajo.,The promotion in the company was the result of his hard work.,./Sentences/Vocabulario General /audio/9_Vocabulario General _audio.mp3
10,El asesoramiento legal fue crucial para resolver el conflicto.,Legal advice was crucial in resolving the conflict.,./Sentences/Vocabulario General /audio/10_Vocabulario General _audio.mp3
11,La asignación de recursos se realizó de manera equitativa.,The allocation of resources was done fairly.,./Sentences/Vocabulario General /audio/11_Vocabulario General _audio.mp3
12,El asunto será discutido en la próxima reunión.,The matter will be discussed at the next meeting.,./Sentences/Vocabulario General /audio/12_Vocabulario General _audio.mp3
13,Los beneficios de la empresa aumentaron este trimestre.,The company's profits increased this quarter.,./Sentences/Vocabulario General /audio/13_Vocabulario General _audio.mp3
14,La campaña de concienciación tuvo un impacto positivo en la comunidad.,The awareness campaign had a positive impact on the community.,./Sentences/Vocabulario General /audio/14_Vocabulario General _audio.mp3
15,El campo de investigación es muy amplio.,The field of research is very broad.,./Sentences/Vocabulario General /audio/15_Vocabulario General _audio.mp3
16,El capitolio es el centro político del país.,The capitol is the political center of the country.,./Sentences/Vocabulario General /audio/16_Vocabulario General _audio.mp3
17,El cargo de director requiere habilidades de liderazgo.,The position of director requires leadership skills.,./Sentences/Vocabulario General /audio/17_Vocabulario General _audio.mp3
18,La Casa Blanca es la residencia oficial del presidente.,The White House is the official residence of the president.,./Sentences/Vocabulario General /audio/18_Vocabulario General _audio.mp3
19,Vamos a celebrar el aniversario con una fiesta.,We are going to celebrate the anniversary with a party.,./Sentences/Vocabulario General /audio/19_Vocabulario General _audio.mp3
20,El ciudadano tiene el derecho a expresar su opinión.,The citizen has the right to express his opinion.,./Sentences/Vocabulario General /audio/20_Vocabulario General _audio.mp3
21,El/la colega me ayudó a terminar el proyecto a tiempo.,The colleague helped me finish the project on time.,./Sentences/Vocabulario General /audio/21_Vocabulario General _audio.mp3
22,La comisión está encargada de investigar el fraude.,The commission is in charge of investigating the fraud.,./Sentences/Vocabulario General /audio/22_Vocabulario General _audio.mp3
23,Los compromisos laborales ocupan gran parte de mi tiempo.,Work commitments take up a large part of my time.,./Sentences/Vocabulario General /audio/23_Vocabulario General _audio.mp3
24,El computador se dañó después de la caída.,The computer got damaged after the fall.,./Sentences/Vocabulario General /audio/24_Vocabulario General _audio.mp3
25,El conflicto de intereses debe ser resuelto de manera transparente.,The conflict of interest must be resolved in a transparent manner.,./Sentences/Vocabulario General /audio/25_Vocabulario General _audio.mp3
26,El/la congresista presentó un proyecto de ley para mejorar la educación.,The congressperson introduced a bill to improve education.,./Sentences/Vocabulario General /audio/26_Vocabulario General _audio.mp3
27,Los congresos anuales son importantes para discutir temas relevantes.,Annual congresses are important for discussing relevant issues.,./Sentences/Vocabulario General /audio/27_Vocabulario General _audio.mp3
28,El cono de tráfico indica que la vía está cerrada.,The traffic cone indicates that the road is closed.,./Sentences/Vocabulario General /audio/28_Vocabulario General _audio.mp3
29,El consulado proporciona servicios consulares a los ciudadanos extranjeros.,The consulate provides consular services to foreign citizens.,./Sentences/Vocabulario General /audio/29_Vocabulario General _audio.mp3
30,La convención de negocios se llevará a cabo la próxima semana.,The business convention will take place next week.,./Sentences/Vocabulario General /audio/30_Vocabulario General _audio.mp3
31,El correo electrónico contiene la información que necesitas.,The email contains the information you need.,./Sentences/Vocabulario General /audio/31_Vocabulario General _audio.mp3
32,La credencial es necesaria para ingresar al edificio.,The credential is necessary to enter the building.,./Sentences/Vocabulario General /audio/32_Vocabulario General _audio.mp3
33,La crisis económica afectó a muchas familias.,The economic crisis affected many families.,./Sentences/Vocabulario General /audio/33_Vocabulario General _audio.mp3
34,La cultura de un país se refleja en sus tradiciones y costumbres.,The culture of a country is reflected in its traditions and customs.,./Sentences/Vocabulario General /audio/34_Vocabulario General _audio.mp3
35,La cumbre reunió a líderes de todo el mundo.,The summit brought together leaders from around the world.,./Sentences/Vocabulario General /audio/35_Vocabulario General _audio.mp3
36,La delegación oficial asistirá a la conferencia internacional.,The official delegation will attend the international conference.,./Sentences/Vocabulario General /audio/36_Vocabulario General _audio.mp3
37,El Departamento de Agricultura promueve prácticas agrícolas sostenibles.,The Department of Agriculture promotes sustainable agricultural practices.,./Sentences/Vocabulario General /audio/37_Vocabulario General _audio.mp3
38,El Departamento de Comercio supervisa las actividades comerciales en el país.,The Department of Commerce oversees commercial activities in the country.,./Sentences/Vocabulario General /audio/38_Vocabulario General _audio.mp3
39,El Departamento de Defensa está a cargo de la seguridad nacional.,The Department of Defense is in charge of national security.,./Sentences/Vocabulario General /audio/39_Vocabulario General _audio.mp3
40,El Departamento de Estado emite pasaportes y brinda asistencia consular a los ciudadanos estadounidenses en el extranjero.,The Department of State issues passports and provides consular assistance to U.S. citizens abroad.,./Sentences/Vocabulario General /audio/40_Vocabulario General _audio.mp3
41,El Departamento de Justicia se encarga de hacer cumplir la ley y administrar la justicia en los Estados Unidos.,The Department of Justice is responsible for enforcing the law and administering justice in the United States.,./Sentences/Vocabulario General /audio/41_Vocabulario General _audio.mp3
42,El Departamento de Salud y Servicios Humanos supervisa programas de salud pública y asistencia social en el país.,The Department of Health and Human Services oversees public health and social assistance programs in the country.,./Sentences/Vocabulario General /audio/42_Vocabulario General _audio.mp3
43,El Departamento de Trabajo protege los derechos de los trabajadores y promueve un mercado laboral justo.,The Department of Labor protects workers' rights and promotes a fair labor market.,./Sentences/Vocabulario General /audio/43_Vocabulario General _audio.mp3
44,Los diplomáticos desempeñan un papel crucial en las relaciones internacionales y la resolución de conflictos.,Diplomats play a crucial role in international relations and conflict resolution.,./Sentences/Vocabulario General /audio/44_Vocabulario General _audio.mp3
45,La diplomacia es fundamental para mantener la paz y la cooperación entre las naciones.,Diplomacy is essential for maintaining peace and cooperation among nations.,./Sentences/Vocabulario General /audio/45_Vocabulario General _audio.mp3
46,El embajador presentó sus credenciales al presidente del país anfitrión.,The ambassador presented his credentials to the president of the host country.,./Sentences/Vocabulario General /audio/46_Vocabulario General _audio.mp3
47,La embajada ofrece servicios consulares a los ciudadanos de su país que residen en el extranjero.,The embassy provides consular services to citizens of its country residing abroad.,./Sentences/Vocabulario General /audio/47_Vocabulario General _audio.mp3
48,El empleado recibió un reconocimiento por su destacado desempeño en la empresa.,The employee received recognition for his outstanding performance in the company.,./Sentences/Vocabulario General /audio/48_Vocabulario General _audio.mp3
49,El empleo es un factor clave para el desarrollo económico y social de una comunidad.,Employment is a key factor for the economic and social development of a community.,./Sentences/Vocabulario General /audio/49_Vocabulario General _audio.mp3
50,El encargado de la tienda se asegura de que los productos estén bien exhibidos y disponibles para los clientes.,The store manager ensures that the products are well displayed and available to the customers.,./Sentences/Vocabulario General /audio/50_Vocabulario General _audio.mp3
51,La entidad está comprometida con la protección del medio ambiente y la sostenibilidad.,The organization is committed to environmental protection and sustainability.,./Sentences/Vocabulario General /audio/51_Vocabulario General _audio.mp3
52,El entrenamiento constante es esencial para mejorar las habilidades laborales y profesionales.,Ongoing training is essential for improving job-related and professional skills.,./Sentences/Vocabulario General /audio/52_Vocabulario General _audio.mp3
53,El especialista en tecnología brindó asesoramiento sobre la implementación de nuevas soluciones informáticas.,The technology specialist provided advice on the implementation of new IT solutions.,./Sentences/Vocabulario General /audio/53_Vocabulario General _audio.mp3
54,El estado de bienestar de la población es una prioridad para el gobierno.,The well-being of the population is a priority for the government.,./Sentences/Vocabulario General /audio/54_Vocabulario General _audio.mp3
55,Los ciudadanos estadounidenses tienen derecho a recibir asistencia consular en el extranjero.,U.S. citizens have the right to receive consular assistance abroad.,./Sentences/Vocabulario General /audio/55_Vocabulario General _audio.mp3
56,La estrategia de marketing fue clave para el éxito de la campaña publicitaria.,The marketing strategy was key to the success of the advertising campaign.,./Sentences/Vocabulario General /audio/56_Vocabulario General _audio.mp3
57,Los eventos culturales promueven el intercambio y la comprensión entre diferentes comunidades.,Cultural events promote exchange and understanding among different communities.,./Sentences/Vocabulario General /audio/57_Vocabulario General _audio.mp3
58,El éxito de un proyecto depende en gran medida de la planificación y la ejecución efectiva.,The success of a project depends largely on effective planning and execution.,./Sentences/Vocabulario General /audio/58_Vocabulario General _audio.mp3
