,Spanish,English,Audio
0,El vaso contiene agua fresca.,The glass contains fresh water.,./Sentences/Common Verbs 101 - 200/audio/0_Common Verbs 101 - 200_audio.mp3
1,No te apartes del camino principal.,Don't stray from the main path.,./Sentences/Common Verbs 101 - 200/audio/1_Common Verbs 101 - 200_audio.mp3
2,Decidí perdonar a aquellos que me hicieron daño.,I decided to forgive those who hurt me.,./Sentences/Common Verbs 101 - 200/audio/2_Common Verbs 101 - 200_audio.mp3
3,Voy a intentar aprender a tocar la guitarra.,I'm going to try to learn to play the guitar.,./Sentences/Common Verbs 101 - 200/audio/3_Common Verbs 101 - 200_audio.mp3
4,Ella sueña con viajar por todo el mundo.,She dreams of traveling the world.,./Sentences/Common Verbs 101 - 200/audio/4_Common Verbs 101 - 200_audio.mp3
5,La oruga se convertirá en una mariposa.,The caterpillar will turn into a butterfly.,./Sentences/Common Verbs 101 - 200/audio/5_Common Verbs 101 - 200_audio.mp3
6,¿Cuándo vienes a visitarnos?,When are you coming to visit us?,./Sentences/Common Verbs 101 - 200/audio/6_Common Verbs 101 - 200_audio.mp3
7,"No te apresures, tenemos tiempo.","Don't rush, we have time.",./Sentences/Common Verbs 101 - 200/audio/7_Common Verbs 101 - 200_audio.mp3
8,El tren se acerca a la estación.,The train is approaching the station.,./Sentences/Common Verbs 101 - 200/audio/8_Common Verbs 101 - 200_audio.mp3
9,Anímate a probar algo nuevo.,Dare to try something new.,./Sentences/Common Verbs 101 - 200/audio/9_Common Verbs 101 - 200_audio.mp3
10,Reconozco que me equivoqué.,I recognize that I was wrong.,./Sentences/Common Verbs 101 - 200/audio/10_Common Verbs 101 - 200_audio.mp3
11,Siempre me apoya en mis decisiones.,He/she always supports me in my decisions.,./Sentences/Common Verbs 101 - 200/audio/11_Common Verbs 101 - 200_audio.mp3
12,Vamos a charlar un rato en el parque.,Let's chat for a while in the park.,./Sentences/Common Verbs 101 - 200/audio/12_Common Verbs 101 - 200_audio.mp3
13,La corrupción puede dañar seriamente a un país.,Corruption can seriously harm a country.,./Sentences/Common Verbs 101 - 200/audio/13_Common Verbs 101 - 200_audio.mp3
14,Descubrí un lugar increíble durante mis vacaciones.,I discovered an amazing place during my vacation.,./Sentences/Common Verbs 101 - 200/audio/14_Common Verbs 101 - 200_audio.mp3
15,¿Cambiarías de idea si te doy más información?,Would you change your mind if I give you more information?,./Sentences/Common Verbs 101 - 200/audio/15_Common Verbs 101 - 200_audio.mp3
16,¿Puedes traer el informe a la reunión?,Can you bring the report to the meeting?,./Sentences/Common Verbs 101 - 200/audio/16_Common Verbs 101 - 200_audio.mp3
17,Es importante mantener la calma en situaciones difíciles.,It's important to keep calm in difficult situations.,./Sentences/Common Verbs 101 - 200/audio/17_Common Verbs 101 - 200_audio.mp3
18,El aroma de las flores llenaba la habitación.,The scent of the flowers filled the room.,./Sentences/Common Verbs 101 - 200/audio/18_Common Verbs 101 - 200_audio.mp3
