,Spanish,English
0,la aldea global,global village
1,el capitalismo,capitalism
2,el comercio justo,fair trade
3,el nivel adquisitivo,acquisitive level
4,el libre comercio,free trade
5,el sindicato,union
6,el tratado de libre comercio,free trade agreement
7,la canasta familiar,Household comsuption expenditure
8,la conciencia,conscience
9,el consumismo,consumerism
10,el proteccionismo,protectionism
11,la corrupción,corruption
12,la cultura,culture
13,el desarrollo,development
14,la economia colaborativa,sharing economy
15,la equidad,equity
16,la desigualdad,inequality
17,la estabilidad,stability
18,la explotación,exploitation
19,las fronteras,borders/frontiers
20,el Fondo Monetario Internacional,IMF
21,la ganancia,profit
22,la identidad,identity
23,la igualdad,equality
24,la independencia,independence
25,la internacionalización,internationalization
26,la mano de obra,labour/workforce
27,las maquiladoras,factory/assembly plant
28,las multinacionales,multinational
29,la nación,nation
30,la Organización Mundial de Comercio (OMC),WTO
31,la prioridad,priority
32,la subvención/el subsidio,subsidy
33,la sucursal,branch
34,la sede principal,headquarters
35,la contratación externa,outsourcing
36,las PyMEs,small and medium-sized enterprise
37,el progreso,progress
38,los aranceles,tariff
39,proveer,to provide
40,arriesgar,to risk
41,el tratado,treaty
