,Spanish,English,Audio
0,Los temas de la conferencia son muy variados.,The topics of the conference are very diverse.,./Sentences/Audio/Week 9/0_Week 9_audio.mp3
1,Tener que ver con la literatura es su pasión.,To have to do with literature is his passion.,./Sentences/Audio/Week 9/1_Week 9_audio.mp3
2,El profesor planteó una discusión interesante en clase.,The teacher raised an interesting discussion in class.,./Sentences/Audio/Week 9/2_Week 9_audio.mp3
3,Valoramos mucho tu opinión en este asunto.,We highly value your opinion on this matter.,./Sentences/Audio/Week 9/3_Week 9_audio.mp3
4,Estaba vigilado por cámaras de seguridad en todo momento.,He was being watched by security cameras at all times.,./Sentences/Audio/Week 9/4_Week 9_audio.mp3
5,Me siento incómodo con la situación actual.,I feel uncomfortable with the current situation.,./Sentences/Audio/Week 9/5_Week 9_audio.mp3
6,Gasté todo mi dinero en ropa nueva.,I spent all my money on new clothes.,./Sentences/Audio/Week 9/6_Week 9_audio.mp3
7,No tolero cualquier tipo de amenaza en mi entorno.,I don't tolerate any kind of threat in my environment.,./Sentences/Audio/Week 9/7_Week 9_audio.mp3
8,El evento fue auspiciado por una reconocida marca de ropa.,The event was sponsored by a well-known clothing brand.,./Sentences/Audio/Week 9/8_Week 9_audio.mp3
9,Se comentaba que el nuevo restaurante era excelente.,It was said that the new restaurant was excellent.,./Sentences/Audio/Week 9/9_Week 9_audio.mp3
10,Este programa tenía la capacidad de interceptar mensajes de texto.,This program had the ability to intercept text messages.,./Sentences/Audio/Week 9/10_Week 9_audio.mp3
11,Los mensajes de texto de este tipo suelen ser malinterpretados.,Text messages of this type are often misunderstood.,./Sentences/Audio/Week 9/11_Week 9_audio.mp3
12,Ellos se encargan de velar por el cumplimiento de la ley.,They are in charge of ensuring compliance with the law.,./Sentences/Audio/Week 9/12_Week 9_audio.mp3
13,Me parece que deberíamos tomar una decisión pronto.,It seems to me that we should make a decision soon.,./Sentences/Audio/Week 9/13_Week 9_audio.mp3
14,Me registran en la entrada de la empresa.,They register me at the entrance of the company.,./Sentences/Audio/Week 9/14_Week 9_audio.mp3
15,Estaba expuesta a situaciones de riesgo en mi antiguo trabajo.,I was exposed to risky situations in my previous job.,./Sentences/Audio/Week 9/15_Week 9_audio.mp3
16,Se dice que el nuevo restaurante es el mejor de la ciudad.,It is said that the new restaurant is the best in the city.,./Sentences/Audio/Week 9/16_Week 9_audio.mp3
17,Poseer una gran fortuna conlleva una gran responsabilidad.,To possess a great fortune carries a great responsibility.,./Sentences/Audio/Week 9/17_Week 9_audio.mp3
18,El promedio de edad de los estudiantes es de 25 años.,The average age of the students is 25 years old.,./Sentences/Audio/Week 9/18_Week 9_audio.mp3
19,Intentaron disuadir a los ladrones con alarmas y cámaras de seguridad.,They tried to deter the thieves with alarms and security cameras.,./Sentences/Audio/Week 9/19_Week 9_audio.mp3
20,Reconocer el esfuerzo de los demás es importante para mantener un buen ambiente laboral.,Recognizing the effort of others is important to maintain a good work environment.,./Sentences/Audio/Week 9/20_Week 9_audio.mp3
21,Debemos darnos cuenta de que la educación es la clave para un futuro mejor.,We must realize that education is the key to a better future.,./Sentences/Audio/Week 9/21_Week 9_audio.mp3
22,Actuar con prudencia es fundamental en situaciones de emergencia.,Acting with caution is essential in emergency situations.,./Sentences/Audio/Week 9/22_Week 9_audio.mp3
23,No debemos permitir que invadan nuestra privacidad.,We must not allow them to invade our privacy.,./Sentences/Audio/Week 9/23_Week 9_audio.mp3
24,Los estafadores utilizan diferentes técnicas para engañar a las personas.,Scammers use different techniques to deceive people.,./Sentences/Audio/Week 9/24_Week 9_audio.mp3
25,Necesito renovar mi cédula de identidad.,I need to renew my identity card.,./Sentences/Audio/Week 9/25_Week 9_audio.mp3
26,Dejemos ese tema para otro día y enfoquémonos en la tarea actual.,Let's leave that topic for another day and focus on the current task.,./Sentences/Audio/Week 9/26_Week 9_audio.mp3
27,"Lamentablemente, no podremos asistir a la reunión programada para hoy.","Unfortunately, we will not be able to attend the meeting scheduled for today.",./Sentences/Audio/Week 9/27_Week 9_audio.mp3
28,El atentado terrorista causó conmoción en toda la ciudad.,The terrorist attack caused shock throughout the city.,./Sentences/Audio/Week 9/28_Week 9_audio.mp3
29,Los heridos fueron trasladados de inmediato al hospital más cercano.,The injured were immediately taken to the nearest hospital.,./Sentences/Audio/Week 9/29_Week 9_audio.mp3
30,Los crímenes de odio deben ser condenados enérgicamente por la sociedad.,Hate crimes must be strongly condemned by society.,./Sentences/Audio/Week 9/30_Week 9_audio.mp3
31,El racismo es un problema que aún persiste en muchas sociedades.,Racism is a problem that still persists in many societies.,./Sentences/Audio/Week 9/31_Week 9_audio.mp3
32,Superar los obstáculos nos hace más fuertes y resilientes.,Overcoming obstacles makes us stronger and more resilient.,./Sentences/Audio/Week 9/32_Week 9_audio.mp3
33,"Hay que ser cuidadoso al cruzar la calle, especialmente en zonas con mucho tráfico.","You have to be careful when crossing the street, especially in areas with heavy traffic.",./Sentences/Audio/Week 9/33_Week 9_audio.mp3
34,La convivencia pacífica entre vecinos es fundamental para una comunidad armoniosa.,Peaceful coexistence among neighbors is essential for a harmonious community.,./Sentences/Audio/Week 9/34_Week 9_audio.mp3
35,Los riesgos de la operación fueron evaluados minuciosamente por el equipo médico.,The risks of the operation were carefully evaluated by the medical team.,./Sentences/Audio/Week 9/35_Week 9_audio.mp3
36,Nos brindan información valiosa para tomar decisiones importantes.,They provide us with valuable information to make important decisions.,./Sentences/Audio/Week 9/36_Week 9_audio.mp3
37,Los peligros de la selva amazónica son numerosos e impredecibles.,The dangers of the Amazon jungle are numerous and unpredictable.,./Sentences/Audio/Week 9/37_Week 9_audio.mp3
38,Reabren el debate sobre la legalización de la marihuana.,They reopen the debate on the legalization of marijuana.,./Sentences/Audio/Week 9/38_Week 9_audio.mp3
39,Hacer preguntas es fundamental para obtener respuestas claras.,Asking questions is essential to get clear answers.,./Sentences/Audio/Week 9/39_Week 9_audio.mp3
40,Tomar decisiones importantes requiere tiempo y reflexión.,Making important decisions requires time and reflection.,./Sentences/Audio/Week 9/40_Week 9_audio.mp3
41,Entrevistar a personas influyentes puede ser una tarea desafiante.,Interviewing influential people can be a challenging task.,./Sentences/Audio/Week 9/41_Week 9_audio.mp3
42,El trabajo físico intenso puede cansar rápidamente a cualquiera.,Intense physical work can tire anyone quickly.,./Sentences/Audio/Week 9/42_Week 9_audio.mp3
43,Asegurar la victoria en el campeonato será un desafío para el equipo.,Ensuring victory in the championship will be a challenge for the team.,./Sentences/Audio/Week 9/43_Week 9_audio.mp3
44,"Había fallecido hacía varios años, pero su legado perdura.","He had passed away several years ago, but his legacy endures.",./Sentences/Audio/Week 9/44_Week 9_audio.mp3
45,Comprobar la autenticidad de un documento es crucial en el proceso legal.,Verifying the authenticity of a document is crucial in the legal process.,./Sentences/Audio/Week 9/45_Week 9_audio.mp3
46,Los talones de pago se emiten al final de cada mes.,Pay stubs are issued at the end of each month.,./Sentences/Audio/Week 9/46_Week 9_audio.mp3
47,La adopción de un niño es un proceso lleno de amor y responsabilidad.,The adoption of a child is a process full of love and responsibility.,./Sentences/Audio/Week 9/47_Week 9_audio.mp3
48,Las personas que cumplen los requisitos recibirán una notificación por correo electrónico.,People who meet the requirements will receive a notification via email.,./Sentences/Audio/Week 9/48_Week 9_audio.mp3
49,"¿Los entrevistados mienten en las entrevistas? : No, siempre responden con honestidad.","Do interviewees lie in interviews? No, they always answer with honesty.",./Sentences/Audio/Week 9/49_Week 9_audio.mp3
50,"Me temo que sí, levantar las sospechas sobre su participación en el robo.","I'm afraid so, raising suspicions about his involvement in the robbery.",./Sentences/Audio/Week 9/50_Week 9_audio.mp3
51,"Pedir ayuda es un signo de fortaleza, no de debilidad.","Asking for help is a sign of strength, not weakness.",./Sentences/Audio/Week 9/51_Week 9_audio.mp3
52,Se encarga de la gestión de recursos humanos en la empresa.,He is in charge of human resources management in the company.,./Sentences/Audio/Week 9/52_Week 9_audio.mp3
53,Aportar nuevas ideas es fundamental para el crecimiento de la empresa.,Contributing new ideas is essential for the company's growth.,./Sentences/Audio/Week 9/53_Week 9_audio.mp3
54,Ir a la cárcel es una consecuencia grave de cometer un delito.,Going to jail is a serious consequence of committing a crime.,./Sentences/Audio/Week 9/54_Week 9_audio.mp3
55,Gracias por haber estado aquí.,Thank you for being here.,./Sentences/Audio/Week 9/55_Week 9_audio.mp3
56,Ha sido un placer.,It has been a pleasure.,./Sentences/Audio/Week 9/56_Week 9_audio.mp3
57,Igualmente.,Likewise.,./Sentences/Audio/Week 9/57_Week 9_audio.mp3
58,Brindamos servicios.,We provide services.,./Sentences/Audio/Week 9/58_Week 9_audio.mp3
59,Están de visita.,They are visiting.,./Sentences/Audio/Week 9/59_Week 9_audio.mp3
60,Enfrentaré el desafío con determinación.,I will face the challenge with determination.,./Sentences/Audio/Week 9/60_Week 9_audio.mp3
61,Asegurar el bienestar de nuestros empleados es nuestra prioridad.,Ensuring the well-being of our employees is our priority.,./Sentences/Audio/Week 9/61_Week 9_audio.mp3
62,Los compatriotas se reunieron para celebrar el Día de la Independencia.,The compatriots gathered to celebrate Independence Day.,./Sentences/Audio/Week 9/62_Week 9_audio.mp3
63,La siguiente reunión será el martes a las 10 de la mañana.,The next meeting will be on Tuesday at 10 in the morning.,./Sentences/Audio/Week 9/63_Week 9_audio.mp3
64,"Tiene doble nacionalidad, es ciudadano de dos países.","He has dual nationality, he is a citizen of two countries.",./Sentences/Audio/Week 9/64_Week 9_audio.mp3
65,El consentimiento de los padres es necesario para el viaje escolar.,Parental consent is required for the school trip.,./Sentences/Audio/Week 9/65_Week 9_audio.mp3
66,¿Puede traerse a su hijo a Estados Unidos durante las vacaciones?,Can you bring your son to the United States during the holidays?,./Sentences/Audio/Week 9/66_Week 9_audio.mp3
67,No dio su brazo a torcer y defendió su postura hasta el final.,He didn't give in and defended his position to the end.,./Sentences/Audio/Week 9/67_Week 9_audio.mp3
