,Spanish,English,Audio
0,El abuso de poder es inaceptable en cualquier situación.,The abuse of power is unacceptable in any situation.,./Sentences/USAID/audio/0_USAID_audio.mp3
1,El acuerdo fue firmado por ambas partes.,The agreement was signed by both parties.,./Sentences/USAID/audio/1_USAID_audio.mp3
2,La administración del edificio está a cargo de una empresa especializada.,The administration of the building is handled by a specialized company.,./Sentences/USAID/audio/2_USAID_audio.mp3
3,La administración de proyectos requiere habilidades de organización y liderazgo.,Project management requires organizational and leadership skills.,./Sentences/USAID/audio/3_USAID_audio.mp3
4,La sequía puede afectar seriamente la producción agrícola.,Drought can seriously affect agricultural production.,./Sentences/USAID/audio/4_USAID_audio.mp3
5,La agencia de desarrollo internacional está trabajando en programas de ayuda humanitaria.,The international development agency is working on humanitarian aid programs.,./Sentences/USAID/audio/5_USAID_audio.mp3
6,La zona rural se dedica principalmente a actividades agrícolas.,The rural area is mainly dedicated to agricultural activities.,./Sentences/USAID/audio/6_USAID_audio.mp3
7,La agricultura es un pilar fundamental de la economía del país.,Agriculture is a fundamental pillar of the country's economy.,./Sentences/USAID/audio/7_USAID_audio.mp3
8,El agua es un recurso vital para la vida en el planeta.,Water is a vital resource for life on the planet.,./Sentences/USAID/audio/8_USAID_audio.mp3
9,La alimentación balanceada es esencial para mantener una buena salud.,Balanced nutrition is essential for maintaining good health.,./Sentences/USAID/audio/9_USAID_audio.mp3
10,El ambientalista lucha por la conservación de los recursos naturales.,The environmentalist fights for the conservation of natural resources.,./Sentences/USAID/audio/10_USAID_audio.mp3
11,El analfabetismo es un problema que afecta a muchas comunidades.,Illiteracy is a problem that affects many communities.,./Sentences/USAID/audio/11_USAID_audio.mp3
12,El analista financiero estudia el comportamiento de los mercados.,The financial analyst studies market behavior.,./Sentences/USAID/audio/12_USAID_audio.mp3
13,El apoyo de la familia es fundamental en momentos difíciles.,Family support is crucial in difficult times.,./Sentences/USAID/audio/13_USAID_audio.mp3
14,El asentamiento de la población en zonas urbanas ha aumentado en los últimos años.,The settlement of the population in urban areas has increased in recent years.,./Sentences/USAID/audio/14_USAID_audio.mp3
15,Es importante que la vivienda sea asequible para todos.,It is important that housing is affordable for everyone.,./Sentences/USAID/audio/15_USAID_audio.mp3
16,La asistencia humanitaria llegó a las zonas afectadas por el desastre natural.,Humanitarian assistance reached the areas affected by the natural disaster.,./Sentences/USAID/audio/16_USAID_audio.mp3
17,El asunto será discutido en la próxima reunión.,The matter will be discussed at the next meeting.,./Sentences/USAID/audio/17_USAID_audio.mp3
