,Spanish,English,Audio
0,Respirar el aire puro de la montaña me revitaliza.,Breathing the pure mountain air revitalizes me.,./Sentences/Medio Ambiente/audio/0_Medio Ambiente_audio.mp3
1,El basurero de la ciudad está desbordado y necesita atención urgente.,The city dump is overflowing and needs urgent attention.,./Sentences/Medio Ambiente/audio/1_Medio Ambiente_audio.mp3
2,La biodiversidad del Amazonas es vital para la salud del planeta.,The biodiversity of the Amazon is vital for the health of the planet.,./Sentences/Medio Ambiente/audio/2_Medio Ambiente_audio.mp3
3,El calentamiento global es uno de los mayores desafíos de nuestro tiempo.,Global warming is one of the greatest challenges of our time.,./Sentences/Medio Ambiente/audio/3_Medio Ambiente_audio.mp3
4,La capa de ozono se está recuperando gracias a los esfuerzos internacionales.,The ozone layer is recovering thanks to international efforts.,./Sentences/Medio Ambiente/audio/4_Medio Ambiente_audio.mp3
5,El clima de esta región es perfecto para el cultivo de viñedos.,The climate of this region is perfect for vineyard cultivation.,./Sentences/Medio Ambiente/audio/5_Medio Ambiente_audio.mp3
6,La contaminación del aire en la ciudad ha alcanzado niveles peligrosos.,Air pollution in the city has reached dangerous levels.,./Sentences/Medio Ambiente/audio/6_Medio Ambiente_audio.mp3
7,La tala indiscriminada puede dañar seriamente el ecosistema.,Indiscriminate logging can seriously damage the ecosystem.,./Sentences/Medio Ambiente/audio/7_Medio Ambiente_audio.mp3
8,La deforestación en la selva amazónica es un problema ambiental grave.,Deforestation in the Amazon rainforest is a serious environmental problem.,./Sentences/Medio Ambiente/audio/8_Medio Ambiente_audio.mp3
9,El efecto invernadero es causado por el aumento de gases como el dióxido de carbono.,The greenhouse effect is caused by the increase of gases such as carbon dioxide.,./Sentences/Medio Ambiente/audio/9_Medio Ambiente_audio.mp3
10,Las emisiones de los vehículos contribuyen significativamente a la contaminación urbana.,Vehicle emissions contribute significantly to urban pollution.,./Sentences/Medio Ambiente/audio/10_Medio Ambiente_audio.mp3
11,Los pesticidas pueden envenenar el agua y dañar la vida silvestre.,Pesticides can poison the water and harm wildlife.,./Sentences/Medio Ambiente/audio/11_Medio Ambiente_audio.mp3
12,La erosión del suelo es un problema grave en áreas de agricultura intensiva.,Soil erosion is a serious problem in areas of intensive agriculture.,./Sentences/Medio Ambiente/audio/12_Medio Ambiente_audio.mp3
13,La lluvia ácida puede dañar los bosques y los lagos.,Acid rain can damage forests and lakes.,./Sentences/Medio Ambiente/audio/13_Medio Ambiente_audio.mp3
14,La marea negra causada por el derrame de petróleo afectó a miles de animales marinos.,The oil spill caused a black tide that affected thousands of marine animals.,./Sentences/Medio Ambiente/audio/14_Medio Ambiente_audio.mp3
15,Los recursos naturales deben ser utilizados de manera sostenible para garantizar su disponibilidad futura.,Natural resources must be used sustainably to ensure their future availability.,./Sentences/Medio Ambiente/audio/15_Medio Ambiente_audio.mp3
16,"Los recursos no renovables, como el petróleo y el carbón, están disminuyendo rápidamente.","Non-renewable resources, such as oil and coal, are rapidly depleting.",./Sentences/Medio Ambiente/audio/16_Medio Ambiente_audio.mp3
17,Es esencial respirar aire limpio para mantener nuestra salud.,It is essential to breathe clean air to maintain our health.,./Sentences/Medio Ambiente/audio/17_Medio Ambiente_audio.mp3
18,Reutilizar los envases de plástico ayuda a reducir la contaminación.,Reusing plastic containers helps to reduce pollution.,./Sentences/Medio Ambiente/audio/18_Medio Ambiente_audio.mp3
19,La selva tropical es el hogar de innumerables especies y debe ser protegida.,The rainforest is home to countless species and must be protected.,./Sentences/Medio Ambiente/audio/19_Medio Ambiente_audio.mp3
20,"""La sequía ha devastado las cosechas este año.",The drought has devastated the crops this year.,./Sentences/Medio Ambiente/audio/20_Medio Ambiente_audio.mp3
