,Spanish,English
0,el Día de Acción de Gracias,Thanksgiving Day
1,el béisbol,baseball
2,el baloncesto,basketball
3,el derecho a portar armas,the right to bear arms
4,la comunidad,community
5,la educación superior,higher education
6,el sueño americano,the American dream
7,la Estatua de la Libertad,Statue of Liberty
8,los parques nacionales,National Parks
9,la ayuda financiera,financial support
10,los préstamos estudiantiles,student loans
11,el seguro médico,health insurance
12,los derechos humanos,human rights
13,los derechos civiles,civil rights
14,la guerra contra la pobreza,war on poverty
15,la beneficencia publica,welfare
16,la libertad religiosa,freedom of religion
17,la libertad de prensa,freedom of the press
18,la libertad de expresión,freedom of speech
19,el voluntariado,voluntary service
20,la Carta de Derechos,Bill of Rights
21,la generación del milenio,millennials
22,movimiento #yo tambien,#MeToo movement
23,las noticias falsas,fake news
24,el multiculturalismo,multiculturalism
25,el individualismo,individualism
26,la separación de poderes,separation of powers
27,el bipartidismo,bipartisanship
28,el colegio electoral,electoral college
29,la calidad de vida,quality of life
30,la caza,hunting
31,la pena de muerte,death penalty
32,la enmienda,amendment
33,los fundadores de la patria,founding fahers
34,la investidura/la toma de posesión,presidential inauguration
35,fútbol americano,football
36,fútbol,soccer
37,la pascua,easter
38,la puntualidad,punctuality
39,el individualismo,individualism
40,la venta de garaje,garage sale
41,la propina,tip
42,la pulgada,inch
43,el espacio personal,personal space
44,la zona horaria,time zone
