,Spanish,English,Audio
0,El abogar por los derechos humanos es fundamental para construir una sociedad justa.,Advocating for human rights is essential for building a just society.,./Sentences/Política/audio/0_Política_audio.mp3
1,El abuso de poder es una violación de los derechos fundamentales.,Abuse of power is a violation of fundamental rights.,./Sentences/Política/audio/1_Política_audio.mp3
2,El acuerdo fue firmado por ambas partes después de largas negociaciones.,The agreement was signed by both parties after long negotiations.,./Sentences/Política/audio/2_Política_audio.mp3
3,La advertencia sobre los peligros del huracán fue emitida con anticipación.,The warning about the hurricane dangers was issued in advance.,./Sentences/Política/audio/3_Política_audio.mp3
4,La crisis económica puede afectar a muchas familias.,The economic crisis can affect many families.,./Sentences/Política/audio/4_Política_audio.mp3
5,El alcalde anunció nuevas medidas para mejorar la calidad de vida en la ciudad.,The mayor announced new measures to improve the quality of life in the city.,./Sentences/Política/audio/5_Política_audio.mp3
6,El aliado estratégico brindó su apoyo en la lucha contra el terrorismo.,The strategic ally provided support in the fight against terrorism.,./Sentences/Política/audio/6_Política_audio.mp3
7,El análisis de la situación económica reveló la necesidad de reformas.,The analysis of the economic situation revealed the need for reforms.,./Sentences/Política/audio/7_Política_audio.mp3
8,El analista político ofreció su opinión sobre las elecciones presidenciales.,The political analyst offered his opinion on the presidential elections.,./Sentences/Política/audio/8_Política_audio.mp3
9,El apoyo de la comunidad es fundamental para el éxito del proyecto.,The support of the community is essential for the success of the project.,./Sentences/Política/audio/9_Política_audio.mp3
10,El asilo político fue concedido a la activista perseguida por su lucha por los derechos humanos.,Political asylum was granted to the activist persecuted for her fight for human rights.,./Sentences/Política/audio/10_Política_audio.mp3
11,La asistencia humanitaria llegó a las zonas afectadas por el desastre natural.,Humanitarian assistance reached the areas affected by the natural disaster.,./Sentences/Política/audio/11_Política_audio.mp3
12,El asunto de la reforma migratoria es de gran importancia para el país.,The issue of immigration reform is of great importance for the country.,./Sentences/Política/audio/12_Política_audio.mp3
13,La bandera nacional ondeaba en lo alto del mástil.,The national flag was waving high on the mast.,./Sentences/Política/audio/13_Política_audio.mp3
14,Muchas personas se beneficiarán de las nuevas políticas de empleo.,Many people will benefit from the new employment policies.,./Sentences/Política/audio/14_Política_audio.mp3
15,Brindemos por el éxito de este nuevo proyecto.,Let's toast to the success of this new project.,./Sentences/Política/audio/15_Política_audio.mp3
16,El brindis de la pareja recién casada emocionó a todos los invitados.,The toast of the newlywed couple moved all the guests.,./Sentences/Política/audio/16_Política_audio.mp3
17,El cambio de gobierno trajo consigo nuevas políticas económicas.,The change of government brought new economic policies.,./Sentences/Política/audio/17_Política_audio.mp3
18,El candidato presidencial presentó su plan de gobierno en un discurso televisado.,The presidential candidate presented his government plan in a televised speech.,./Sentences/Política/audio/18_Política_audio.mp3
19,La central de operaciones coordinó las labores de rescate durante la emergencia.,The operations center coordinated the rescue efforts during the emergency.,./Sentences/Política/audio/19_Política_audio.mp3
20,La ciudadanía es un derecho fundamental en cualquier sociedad democrática.,Citizenship is a fundamental right in any democratic society.,./Sentences/Política/audio/20_Política_audio.mp3
21,El colegio electoral es el encargado de elegir al presidente.,The electoral college is responsible for electing the president.,./Sentences/Política/audio/21_Política_audio.mp3
22,La compañía está experimentando un crecimiento significativo este año.,The company is experiencing significant growth this year.,./Sentences/Política/audio/22_Política_audio.mp3
23,La complicidad entre los dos sospechosos los hace cómplices del crimen.,The complicity between the two suspects makes them accomplices in the crime.,./Sentences/Política/audio/23_Política_audio.mp3
24,El comunismo es un sistema político basado en la propiedad colectiva de los medios de producción.,Communism is a political system based on collective ownership of the means of production.,./Sentences/Política/audio/24_Política_audio.mp3
25,La conferencia abordará temas de innovación y tecnología.,The conference will address topics of innovation and technology.,./Sentences/Política/audio/25_Política_audio.mp3
26,El gobierno puede confiscar propiedades en casos de corrupción.,The government can confiscate properties in cases of corruption.,./Sentences/Política/audio/26_Política_audio.mp3
27,El congresista presentó un proyecto de ley para mejorar la educación.,The congressman introduced a bill to improve education.,./Sentences/Política/audio/27_Política_audio.mp3
28,El conservador se opone a los cambios en la legislación ambiental.,The conservative opposes changes in environmental legislation.,./Sentences/Política/audio/28_Política_audio.mp3
29,La conspiración fue descubierta por las autoridades.,The conspiracy was uncovered by the authorities.,./Sentences/Política/audio/29_Política_audio.mp3
30,El contacto con personas de diferentes culturas enriquece nuestra vida.,Contact with people from different cultures enriches our lives.,./Sentences/Política/audio/30_Política_audio.mp3
31,Es contraproducente ignorar los consejos de los expertos.,It's counterproductive to ignore the advice of experts.,./Sentences/Política/audio/31_Política_audio.mp3
32,La corrupción es un problema que afecta a muchas instituciones gubernamentales.,Corruption is a problem that affects many government institutions.,./Sentences/Política/audio/32_Política_audio.mp3
33,El crecimiento económico es fundamental para el desarrollo de un país.,Economic growth is fundamental for the development of a country.,./Sentences/Política/audio/33_Política_audio.mp3
34,La cumbre reunió a líderes de todo el mundo para discutir temas globales.,The summit brought together leaders from around the world to discuss global issues.,./Sentences/Política/audio/34_Política_audio.mp3
35,Es importante cumplir la ley para mantener el orden en la sociedad.,It is important to comply with the law to maintain order in society.,./Sentences/Política/audio/35_Política_audio.mp3
36,Los datos recopilados respaldan la teoría propuesta por el científico.,The data collected supports the theory proposed by the scientist.,./Sentences/Política/audio/36_Política_audio.mp3
37,La declaración del presidente generó controversia en la opinión pública.,The president's statement generated controversy in the public opinion.,./Sentences/Política/audio/37_Política_audio.mp3
38,La democracia se basa en la participación ciudadana en la toma de decisiones.,Democracy is based on citizen participation in decision-making.,./Sentences/Política/audio/38_Política_audio.mp3
39,El demócrata ganó las elecciones presidenciales.,The Democrat won the presidential elections.,./Sentences/Política/audio/39_Política_audio.mp3
40,Los derechos humanos son fundamentales para una sociedad justa.,Human rights are fundamental for a just society.,./Sentences/Política/audio/40_Política_audio.mp3
41,El objetivo del movimiento es derrocar al gobierno opresor.,The goal of the movement is to overthrow the oppressive government.,./Sentences/Política/audio/41_Política_audio.mp3
42,La desigualdad económica es un problema que afecta a muchas personas.,Economic inequality is a problem that affects many people.,./Sentences/Política/audio/42_Política_audio.mp3
43,El desplazado encontró refugio en un país vecino.,The displaced person found refuge in a neighboring country.,./Sentences/Política/audio/43_Política_audio.mp3
44,La devaluación de la moneda afectó la economía del país.,The devaluation of the currency affected the country's economy.,./Sentences/Política/audio/44_Política_audio.mp3
45,El dictador gobernó con mano dura durante décadas.,The dictator ruled with an iron fist for decades.,./Sentences/Política/audio/45_Política_audio.mp3
46,La dictadura suprimió las libertades civiles de la población.,The dictatorship suppressed the civil liberties of the population.,./Sentences/Política/audio/46_Política_audio.mp3
47,La discordia entre los partidos políticos dificulta el progreso del país.,The discord between political parties hinders the country's progress.,./Sentences/Política/audio/47_Política_audio.mp3
48,El congreso aprobó una nueva ley de educación.,The congress approved a new education law.,./Sentences/Política/audio/48_Política_audio.mp3
49,Las elecciones presidenciales se llevarán a cabo el próximo año.,The presidential elections will take place next year.,./Sentences/Política/audio/49_Política_audio.mp3
50,La entrevista con el líder político fue muy reveladora.,The interview with the political leader was very revealing.,./Sentences/Política/audio/50_Política_audio.mp3
51,Erradicar la corrupción es un desafío para el país.,Eradicating corruption is a challenge for the country.,./Sentences/Política/audio/51_Política_audio.mp3
52,Las estadísticas muestran un aumento en la tasa de desempleo.,The statistics show an increase in the unemployment rate.,./Sentences/Política/audio/52_Política_audio.mp3
53,El estado debe garantizar el bienestar de todos los ciudadanos.,The state must ensure the well-being of all citizens.,./Sentences/Política/audio/53_Política_audio.mp3
54,Los eventos políticos recientes han generado controversia en el país.,The recent political events have generated controversy in the country.,./Sentences/Política/audio/54_Política_audio.mp3
55,El exgobernador fue acusado de malversación de fondos.,The former governor was accused of embezzlement.,./Sentences/Política/audio/55_Política_audio.mp3
56,Los fondos destinados a la educación deben ser utilizados de manera efectiva.,The funds allocated for education must be used effectively.,./Sentences/Política/audio/56_Política_audio.mp3
57,Fortalecer las instituciones democráticas es crucial para el país.,Strengthening democratic institutions is crucial for the country.,./Sentences/Política/audio/57_Política_audio.mp3
58,El funcionario político fue destituido por corrupción.,The political official was removed from office due to corruption.,./Sentences/Política/audio/58_Política_audio.mp3
59,La gobernanza efectiva es esencial para el desarrollo sostenible.,Effective governance is essential for sustainable development.,./Sentences/Política/audio/59_Política_audio.mp3
60,El presidente gobernará el país durante los próximos cuatro años.,The president will govern the country for the next four years.,./Sentences/Política/audio/60_Política_audio.mp3
61,El gobierno está implementando nuevas políticas para mejorar la economía.,The government is implementing new policies to improve the economy.,./Sentences/Política/audio/61_Política_audio.mp3
62,El gobierno municipal ha invertido en proyectos de infraestructura para la comunidad.,The municipal government has invested in infrastructure projects for the community.,./Sentences/Política/audio/62_Política_audio.mp3
63,El golpe de estado derrocó al gobierno anterior.,The coup d'état overthrew the previous government.,./Sentences/Política/audio/63_Política_audio.mp3
64,La guerra ha causado un gran sufrimiento a la población civil.,The war has caused great suffering to the civilian population.,./Sentences/Política/audio/64_Política_audio.mp3
65,La igualdad de oportunidades es un derecho fundamental.,Equality of opportunity is a fundamental right.,./Sentences/Política/audio/65_Política_audio.mp3
