,Spanish,English
0,la superpotencia,superpower
1,el cine,cinema/movie theater
2,los deportistas,sportsman/sportswoman
3,los políticos,politicians
4,el altruismo,altruism
5,los organismos internacionales,International organizations
6,la exportación,exports
7,los aliados,allies
8,la cumbre,summit
9,la fundación,foundation
10,las Fuerzas Armadas,military / armed fores
11,la arquitectura,architecture
12,respaldar,to endorse
13,el programa de apoyo,support program
14,la ayuda económica,economic support
15,los intereses,interests
16,la guerra,war
17,la soberanía,sovereignty
18,la intervención,intervention
19,el estado de derecho,rule of law
