,Spanish,English
0,el acta de nacimiento , the birth certificate
1,el ADN , the DNA
2,la adopción , the adoption
3,el apellido materno , the maternal surname
4,el apellido paterno , the paternal surname
5,la beca , the scholarship
6,brindar , to offer
7,brindar ayuda , to provide help
8,el brindis , the toast
9,el campesino , the peasant
10,la cárcel , the jail
11,la carrera universitaria , the university career
12,el caso , the case
13,el centro de detención , the detention center
14,la ciudadanía , the citizenship
15,la condena , the conviction
16,el consentimiento , the consent
17,el cónsul , the consul
18,el cónsul general , the consul general
19,el consulado , the consulate
20,la corte , the court
21,cumplir la ley , to obey the law
22,la custodia , the custody
23,el deportado , the deportee
24,los deportes , sports
25,el destino turístico , the tourist destination
26,el detenido , the detainee
27,la doble nacionalidad , the dual nationality
28,los documentos de viaje , the travel documents
29,los documentos falsos , the false documents
30,la edad , the age
31,entrevistar , to interview
32,el/la estudiante , the student
33,estudiar , to study
34,los estudios , the studies
35,la exposición , the exhibition
36,la fecha de nacimiento , the date of birth
37,la feria , the fair
38,el fiscal , the prosecutor
39,el fraude , the fraud
40,el gerente , the manager
41,el hospedaje , the lodging
42,el historial crediticio , the credit history
43,ilegal , illegal
44,ilegalmente , illegally
45,la inmigración , immigration
46,interceder , to intercede
47,la entrevista , the interview
48,legal , legal
49,legítimo , legitimate
50,la ley , the law
51,la licenciatura , the bachelor's degree
52,la maestría , the master's degree
53,la matrícula , the enrollment or tuition
54,los medios de comunicación , the media
55,el Ministerio de Justicia , the Ministry of Justice
56,la muerte , the death
57,negar , to deny
58,el negocio , the business
59,las noticias , the news
60,la orden de detención , the arrest warrant
61,otorgar , to grant
62,la pasantía , the internship
63,el pasaporte , the passport
64,el/la periodista , the journalist
65,la pregunta , the question
66,la prensa , the press
67,la prometida , the fiancée
68,rechazar , to reject
69,el refugiado , the refugee
70,la repatriación , the repatriation
71,los requisitos , the requirements
72,la residencia , the residency
73,el robo de identidad , the identity theft
74,la sección consular , the consular section
75,el semestre , the semester
76,los servicios , the services
77,el soborno , the bribe
78,el/la solicitante , the applicant
79,solicitar ayuda , to request help
80,la solicitud , the application
81,suspender , to suspend
82,los talones de pago , the pay stubs
83,el título , the degree or title
84,el trabajo a tiempo completo , full-time work
85,el traficante , the trafficker
86,tramitar , to process
87,el trámite , the procedure
88,el turismo , tourism
89,el/la turista , the tourist
90,la universidad , the university
91,la ventanilla , the window or teller window
92,viajar , to travel
93,el viaje , the trip
94,el vicecónsul , the vice consul
95,la visa , the visa
96,la visa de intercambio estudiantil , the student exchange visa
97,la visa de prometido , the fiancé(e) visa
98,la visa de trabajo , the work visa
99,la visa de turista , the tourist visa
100,el vuelo , the flight
101,arrestado , arrested
102,la visa de no-inmigrante , the non-immigrant visa
