,Spanish,English,Audio
0,La aldea global se ha convertido en una realidad gracias a internet.,The global village has become a reality thanks to the internet.,./Sentences/Globalizacion/audio/0_Globalizacion_audio.mp3
1,El capitalismo es el sistema económico predominante en el mundo occidental.,Capitalism is the predominant economic system in the Western world.,./Sentences/Globalizacion/audio/1_Globalizacion_audio.mp3
2,El comercio justo busca mejorar las condiciones de los productores en países en desarrollo.,Fair trade seeks to improve the conditions of producers in developing countries.,./Sentences/Globalizacion/audio/2_Globalizacion_audio.mp3
3,El nivel adquisitivo de una familia determina su capacidad para comprar bienes y servicios.,The purchasing power of a family determines its ability to buy goods and services.,./Sentences/Globalizacion/audio/3_Globalizacion_audio.mp3
4,El libre comercio entre países puede contribuir al crecimiento económico.,Free trade between countries can contribute to economic growth.,./Sentences/Globalizacion/audio/4_Globalizacion_audio.mp3
5,El sindicato lucha por los derechos y el bienestar de sus miembros.,The union fights for the rights and welfare of its members.,./Sentences/Globalizacion/audio/5_Globalizacion_audio.mp3
6,El tratado de libre comercio entre las naciones promete impulsar la economía.,The free trade agreement between the nations promises to boost the economy.,./Sentences/Globalizacion/audio/6_Globalizacion_audio.mp3
7,La canasta familiar ha aumentado de precio debido a la inflación.,The cost of the basic basket of goods has increased due to inflation.,./Sentences/Globalizacion/audio/7_Globalizacion_audio.mp3
8,La conciencia sobre el medio ambiente es esencial para su preservación.,Awareness of the environment is essential for its preservation.,./Sentences/Globalizacion/audio/8_Globalizacion_audio.mp3
9,El consumismo en la sociedad moderna a menudo conduce al endeudamiento.,Consumerism in modern society often leads to debt.,./Sentences/Globalizacion/audio/9_Globalizacion_audio.mp3
10,"El proteccionismo puede proteger las industrias locales, pero también puede limitar el comercio.","Protectionism can protect local industries, but it can also limit trade.",./Sentences/Globalizacion/audio/10_Globalizacion_audio.mp3
11,La corrupción es un problema grave que afecta la confianza en las instituciones.,Corruption is a serious problem that affects trust in institutions.,./Sentences/Globalizacion/audio/11_Globalizacion_audio.mp3
12,"La cultura de un país se refleja en su arte, tradiciones y comportamiento social.","The culture of a country is reflected in its art, traditions, and social behavior.",./Sentences/Globalizacion/audio/12_Globalizacion_audio.mp3
13,El desarrollo sostenible es clave para garantizar un futuro para las próximas generaciones.,Sustainable development is key to ensuring a future for the coming generations.,./Sentences/Globalizacion/audio/13_Globalizacion_audio.mp3
14,La economía colaborativa permite compartir recursos y reducir costos.,The sharing economy allows for sharing resources and reducing costs.,./Sentences/Globalizacion/audio/14_Globalizacion_audio.mp3
15,La equidad en el acceso a la educación es fundamental para una sociedad justa.,Equity in access to education is essential for a fair society.,./Sentences/Globalizacion/audio/15_Globalizacion_audio.mp3
16,La desigualdad económica sigue siendo un desafío importante en muchas sociedades.,Economic inequality remains a significant challenge in many societies.,./Sentences/Globalizacion/audio/16_Globalizacion_audio.mp3
17,La estabilidad política es crucial para el crecimiento económico de un país.,Political stability is crucial for a country's economic growth.,./Sentences/Globalizacion/audio/17_Globalizacion_audio.mp3
18,La explotación laboral es un problema que aún persiste en muchas industrias.,Labor exploitation is an issue that still persists in many industries.,./Sentences/Globalizacion/audio/18_Globalizacion_audio.mp3
19,Las fronteras entre países pueden ser barreras tanto físicas como culturales.,Borders between countries can be barriers both physical and cultural.,./Sentences/Globalizacion/audio/19_Globalizacion_audio.mp3
20,El Fondo Monetario Internacional ha aprobado un nuevo préstamo para ayudar a la economía del país.,The International Monetary Fund has approved a new loan to help the country's economy.,./Sentences/Globalizacion/audio/20_Globalizacion_audio.mp3
21,La ganancia de la empresa este trimestre superó todas las expectativas.,The company's profit this quarter exceeded all expectations.,./Sentences/Globalizacion/audio/21_Globalizacion_audio.mp3
22,Es importante proteger la identidad de los testigos en casos de alto riesgo.,It is important to protect the identity of witnesses in high-risk cases.,./Sentences/Globalizacion/audio/22_Globalizacion_audio.mp3
23,La igualdad de género en el lugar de trabajo es un tema que aún requiere mucha atención.,Gender equality in the workplace is an issue that still requires a lot of attention.,./Sentences/Globalizacion/audio/23_Globalizacion_audio.mp3
24,La independencia de la nación fue declarada el 9 de julio de 1816.,"The nation's independence was declared on July 9, 1816.",./Sentences/Globalizacion/audio/24_Globalizacion_audio.mp3
25,La internacionalización de la marca ha permitido un mayor alcance en mercados extranjeros.,The internationalization of the brand has allowed for greater reach in foreign markets.,./Sentences/Globalizacion/audio/25_Globalizacion_audio.mp3
26,La mano de obra en esta región es conocida por su alta calidad y dedicación.,The workforce in this region is known for its high quality and dedication.,./Sentences/Globalizacion/audio/26_Globalizacion_audio.mp3
27,Las maquiladoras en la frontera han creado miles de empleos para los residentes locales.,The assembly plants on the border have created thousands of jobs for local residents.,./Sentences/Globalizacion/audio/27_Globalizacion_audio.mp3
28,Las multinacionales a menudo enfrentan críticas por su influencia en las economías locales.,Multinationals often face criticism for their influence on local economies.,./Sentences/Globalizacion/audio/28_Globalizacion_audio.mp3
29,La nación se unió para celebrar el día de su independencia.,The nation came together to celebrate its Independence Day.,./Sentences/Globalizacion/audio/29_Globalizacion_audio.mp3
30,La Organización Mundial de Comercio juega un papel crucial en la regulación del comercio internacional.,The World Trade Organization plays a crucial role in regulating international trade.,./Sentences/Globalizacion/audio/30_Globalizacion_audio.mp3
31,La prioridad del gobierno es mejorar la educación y la salud pública.,The government's priority is to improve education and public health.,./Sentences/Globalizacion/audio/31_Globalizacion_audio.mp3
32,La subvención recibida por los agricultores les ayudará a superar la crisis económica.,The subsidy received by the farmers will help them overcome the economic crisis.,./Sentences/Globalizacion/audio/32_Globalizacion_audio.mp3
33,La sucursal del banco en mi barrio siempre está muy concurrida.,The bank branch in my neighborhood is always very busy.,./Sentences/Globalizacion/audio/33_Globalizacion_audio.mp3
34,La sede principal de la empresa se encuentra en la ciudad de Nueva York.,The company's headquarters are located in New York City.,./Sentences/Globalizacion/audio/34_Globalizacion_audio.mp3
35,La contratación externa ha permitido a la empresa reducir costos y aumentar la eficiencia.,Outsourcing has allowed the company to reduce costs and increase efficiency.,./Sentences/Globalizacion/audio/35_Globalizacion_audio.mp3
36,"Las PyMEs son el motor de la economía, generando empleo y fomentando la innovación.","Small and medium-sized enterprises are the engine of the economy, generating employment and fostering innovation.",./Sentences/Globalizacion/audio/36_Globalizacion_audio.mp3
37,El progreso tecnológico ha transformado la manera en que vivimos y trabajamos.,Technological progress has transformed the way we live and work.,./Sentences/Globalizacion/audio/37_Globalizacion_audio.mp3
38,Los aranceles impuestos a los productos importados han generado controversia en el comercio internacional.,The tariffs imposed on imported products have generated controversy in international trade.,./Sentences/Globalizacion/audio/38_Globalizacion_audio.mp3
39,La organización se comprometió a proveer alimentos y asistencia a las víctimas del desastre.,The organization committed to providing food and assistance to the disaster victims.,./Sentences/Globalizacion/audio/39_Globalizacion_audio.mp3
40,Decidí arriesgar todo por seguir mi sueño de ser artista.,I decided to risk everything to follow my dream of being an artist.,./Sentences/Globalizacion/audio/40_Globalizacion_audio.mp3
