,Spanish,English,Audio
0,El abogar por los derechos humanos es fundamental en una sociedad justa.,Advocating for human rights is essential in a just society.,./Sentences/Economía/audio/0_Economía_audio.mp3
1,Las acciones de la empresa han aumentado un 10% este trimestre.,The company's stocks have increased by 10% this quarter.,./Sentences/Economía/audio/1_Economía_audio.mp3
2,El acuerdo de paz fue firmado por ambas partes en el conflicto.,The peace agreement was signed by both parties in the conflict.,./Sentences/Economía/audio/2_Economía_audio.mp3
3,La advertencia sobre el huracán se emitió con anticipación.,The warning about the hurricane was issued in advance.,./Sentences/Economía/audio/3_Economía_audio.mp3
4,La contaminación puede afectar la calidad del aire que respiramos.,Pollution can affect the quality of the air we breathe.,./Sentences/Economía/audio/4_Economía_audio.mp3
5,El sector agrícola es vital para la economía de muchos países.,The agricultural sector is vital for the economy of many countries.,./Sentences/Economía/audio/5_Economía_audio.mp3
6,La agricultura sostenible es clave para preservar el medio ambiente.,Sustainable agriculture is key to preserving the environment.,./Sentences/Economía/audio/6_Economía_audio.mp3
7,El ahorro de energía es importante para reducir el impacto ambiental.,Saving energy is important to reduce environmental impact.,./Sentences/Economía/audio/7_Economía_audio.mp3
8,El aliado estratégico nos brindó su apoyo en la negociación.,The strategic ally provided us with their support in the negotiation.,./Sentences/Economía/audio/8_Economía_audio.mp3
9,El análisis del mercado indica una tendencia al alza en las ventas.,The market analysis indicates an upward trend in sales.,./Sentences/Economía/audio/9_Economía_audio.mp3
10,El análisis económico revela la necesidad de implementar medidas fiscales.,The economic analysis reveals the need to implement fiscal measures.,./Sentences/Economía/audio/10_Economía_audio.mp3
11,El analista financiero recomendó diversificar las inversiones.,The financial analyst recommended diversifying the investments.,./Sentences/Economía/audio/11_Economía_audio.mp3
12,El apoyo de la comunidad fue fundamental para el éxito del proyecto.,The support of the community was fundamental for the success of the project.,./Sentences/Economía/audio/12_Economía_audio.mp3
13,Los artículos/commodities básicos son esenciales para la vida diaria.,Basic commodities are essential for daily life.,./Sentences/Economía/audio/13_Economía_audio.mp3
14,El acceso a la educación debe ser asequible para todos.,Access to education should be affordable for everyone.,./Sentences/Economía/audio/14_Economía_audio.mp3
15,El asesor financiero brindó recomendaciones para mejorar la gestión de fondos.,The financial advisor provided recommendations to improve fund management.,./Sentences/Economía/audio/15_Economía_audio.mp3
16,El asunto de la reunión será la planificación del próximo evento.,The subject of the meeting will be the planning of the next event.,./Sentences/Economía/audio/16_Economía_audio.mp3
17,Aumentar la productividad es uno de los objetivos principales de la empresa.,Increasing productivity is one of the main goals of the company.,./Sentences/Economía/audio/17_Economía_audio.mp3
18,La austeridad fiscal puede generar tensiones sociales si no se gestiona adecuadamente.,Fiscal austerity can generate social tensions if not managed properly.,./Sentences/Economía/audio/18_Economía_audio.mp3
19,La ayuda financiera fue crucial para la recuperación después del desastre natural.,Financial aid was crucial for the recovery after the natural disaster.,./Sentences/Economía/audio/19_Economía_audio.mp3
20,La bancarrota puede ser devastadora para una empresa.,Bankruptcy can be devastating for a company.,./Sentences/Economía/audio/20_Economía_audio.mp3
21,El banco está cerrado los fines de semana.,The bank is closed on weekends.,./Sentences/Economía/audio/21_Economía_audio.mp3
22,Las barreras comerciales dificultan el comercio internacional.,Trade barriers hinder international commerce.,./Sentences/Economía/audio/22_Economía_audio.mp3
23,Muchas empresas se beneficiarán de esta nueva ley.,Many companies will benefit from this new law.,./Sentences/Economía/audio/23_Economía_audio.mp3
24,Los bienes personales deben ser declarados en la aduana.,Personal belongings must be declared at customs.,./Sentences/Economía/audio/24_Economía_audio.mp3
25,El bienestar de los empleados es una prioridad para la empresa.,Employee well-being is a priority for the company.,./Sentences/Economía/audio/25_Economía_audio.mp3
26,Existe una brecha salarial significativa entre hombres y mujeres.,There is a significant wage gap between men and women.,./Sentences/Economía/audio/26_Economía_audio.mp3
27,Voy a brindar por el éxito de tu nuevo proyecto.,I will toast to the success of your new project.,./Sentences/Economía/audio/27_Economía_audio.mp3
28,Levantemos nuestras copas para hacer un brindis.,Let's raise our glasses to make a toast.,./Sentences/Economía/audio/28_Economía_audio.mp3
29,La burbuja económica finalmente estalló.,The economic bubble finally burst.,./Sentences/Economía/audio/29_Economía_audio.mp3
30,La caída del mercado de valores afectó a muchos inversores.,The stock market crash affected many investors.,./Sentences/Economía/audio/30_Economía_audio.mp3
31,El campesino cosechó una gran cantidad de maíz este año.,The farmer harvested a large amount of corn this year.,./Sentences/Economía/audio/31_Economía_audio.mp3
32,La canasta familiar incluye productos de primera necesidad.,The family basket includes essential products.,./Sentences/Economía/audio/32_Economía_audio.mp3
33,Este vestido es demasiado caro para mi presupuesto.,This dress is too expensive for my budget.,./Sentences/Economía/audio/33_Economía_audio.mp3
34,El cibercrimen está en aumento en todo el mundo.,Cybercrime is on the rise worldwide.,./Sentences/Economía/audio/34_Economía_audio.mp3
35,El cibercriminal fue arrestado por robar información confidencial.,The cybercriminal was arrested for stealing confidential information.,./Sentences/Economía/audio/35_Economía_audio.mp3
