,Spanish,English
0,abogar , to advocate
1,las acciones , the stocks
2,el acuerdo , the agreement
3,la advertencia , the warning
4,afectar , to affect
5,agrícola , agricultural
6,la agricultura , agriculture
7,el ahorro , the saving
8,el aliado , the ally
9,el análisis , the analysis
10,el análisis económico , the economic analysis
11,el/la analista , the analyst
12,el apoyo , the support
13,los artículos , the commodities
14,asequible , affordable
15,el asesor financiero , the financial advisor
16,el asunto , the matter
17,aumentar , to increase
18,la austeridad , austerity
19,la ayuda financiera , financial aid
20,la bancarrota , bankruptcy
21,el banco , the bank
22,las barreras comerciales , trade barriers
23,beneficiarse , to benefit
24,los bienes , goods
25,el bienestar , wellness/wellbeing
26,la brecha , the gap
27,brindar , to offer
28,el brindis , the toast
29,la burbuja económica , the economic bubble
30,la caída , the fall
31,el campesino , the peasant
32,la canasta familiar , the family basket
33,caro , expensive
34,el cibercrimen , cybercrime
35,el cibercriminal , cybercriminal
36,la ciencia , science
37,el científico , the scientist
38,la cifra , the figure
39,el comercio , commerce
40,la comisión , the commission
41,la compañía , the company
42,la competencia , competition
43,la conferencia , the conference
44,el/la congresista , the congressperson
45,la construcción , construction
46,el consumo , consumption
47,el contacto , contact
48,contraproducente , counterproductive
49,la corrupción , corruption
50,el costo , cost
51,el crecimiento , growth
52,la crisis , crisis
53,la cuenta bancaria , banking account
54,la cumbre , summit
55,la declaración , declaration
56,la defensa , defense
57,la dependencia , dependency
58,el desarrollo , development
59,el descenso , decrease
60,la desigualdad , inequality
61,la deuda , debt
62,devaluar , to devalue
63,el dinero , money
64,el dólar , dollar
65,el dueño , owner
66,la economía , economy
67,la economía de guerra , war economy
68,económicamente , economically
69,el efectivo , cash
70,los efectos nocivos , harmful effects
71,el congreso , congress
72,las emisiones de fábricas , factory emissions
73,el empleo , employment
74,el empobrecimiento , impoverishment
75,la empresa , company
76,el empresario , entrepreneur
77,las enfermedades , diseases
78,la entrevista , interview
79,erradicar , to eradicate
80,la escasez , scarcity
81,el escenario económico , economic scenario
82,la estabilidad económica , economic stability
83,las estadísticas , statistics
84,estimular , to stimulate
85,la exportación , export
86,la fábrica , factory
87,la fabricación , manufacturing
88,facilitar , to facilitate
89,la feria , fair
90,las finanzas , finance
91,los fondos , funds
92,fortalecer , to strengthen
93,la franquicia , franchise
94,la fundación , foundation
95,la ganancia , profit
96,las ganancias , profits
97,gastar , to spend
98,el gasto , expenditure
99,los gastos , expenses
100,la globalización , globalization
101,el gobierno , government
102,la hipoteca , mortgage
103,el hogar , home
104,la igualdad , equality
105,la importación , import
106,los impuestos , taxes
107,impulsar , to drive
108,incentivar , to encourage
109,la independencia , independence
110,el indicador , indicator
111,el índice , index
112,la industria , industry
113,la inflación , inflation
114,influir , to influence
115,el informe , report
116,los ingresos , income
117,la inmobiliaria , real estate
118,el intercambio , exchange
119,interceder , to intercede
120,la interdependencia , interdependence
121,la interpretación , interpretation
122,la inversión , investment
123,la justicia , justice
124,la ley , law
125,el lujo , luxury
126,la malversación , embezzlement
127,el mecanismo , mechanism
128,las medidas , measures
129,el medio ambiente , environment
130,los medios de comunicación , media
131,el mejoramiento , improvement
132,mejorar , to improve
133,el millonario , millionaire
134,la moneda , currency
135,monitorear , to monitor
136,la multinacional , multinational
137,la negociación , negotiation
138,el negocio , business
139,pagar , to pay
140,el pago , payment
141,los países desarrollados , developed countries
142,el agregado económico , economic aggregate
143,el desempleo , unemployment
144,el mercado , market
145,la organización mundial del turismo , world tourism organization
146,los países en desarrollo , developing countries
147,el paquete económico , economic package
148,el paraíso fiscal , tax haven
149,la paz , peace
150,la pequeña y mediana empresa , small and medium enterprise
151,la pérdida , loss
152,el/la periodista , journalist
153,el peso , peso
154,el pirata informático , hacker
155,el plagio , plagiarism
156,el plan económico , economic plan
157,la pobreza , poverty
158,el poder adquisitivo , purchasing power
159,la política , policy
160,el porcentaje , percentage
161,la práctica comercial , business practice
162,el precio , price
163,la prensa , press
164,el préstamo , loan
165,el presupuesto , budget
166,la producción , production
167,los productos , products
168,el progreso , progress
169,promover , to promote
170,la propiedad intelectual , intellectual property
171,la prosperidad , prosperity
172,el puesto de trabajo , job position
173,la recesión , recession
174,los recortes , cuts
175,los recursos económicos , economic resources
176,los recursos naturales , natural resources
177,los recursos naturales no renovables , non-renewable natural resources
178,la reducción , reduction
179,reducir , to reduce
180,la regulación , regulation
181,reportar , to report
182,los requisitos , requirements
183,el resumen , summary
184,la riqueza , wealth
185,el salario , salary
186,la salud , health
187,la sanción , sanction
188,la sección económica , economic section
189,el sector , sector
190,el senador , senator
191,los servicios , services
192,el sistema comercial , trading system
193,el sistema multilateral , multilateral system
194,el soborno , bribery
195,la solvencia económica , economic solvency
196,el subsidio , subsidy
197,el sueldo , wage
198,el sueldo mínimo , minimum wage
199,los suministros , supplies
200,la tarifa , tariff
201,la tarjeta de crédito , credit card
202,la tasa , rate
203,la tecnología , technology
204,la tesorería , treasury
205,la tienda , store
206,acuerdo de libre comercio , free trade agreement
207,la transacción , transaction
208,la transnacional , transnational
209,el tratado , treaty
210,el turismo , tourism
211,el/la turista , tourist
212,el valor , value
213,los vendedores ambulantes , street vendors
214,vender , to sell
215,la venta , sale
216,el vínculo , link
217,vulnerable , vulnerable
