,Spanish,English
0,la aduana,customs
1,amenazar,to threaten
2,el arma,weapon
3,la cárcel,jail
4,el cargamento,shipment
5,el crimen,crime
6,dañino/a,harmful
7,el delito,felony
8,el sicario,hitman
9,detener,to detain
10,drogarse,to take drugs
11,el cultivo,crop
12,engañar,to deceive
13,la frontera,border
14,la fumigación,spraying
15,fumar,to smoke
16,la erradicación,eradication
17,la ganancia,profit
18,la planta de coca,coca plant
19,huir,to run away
20,las pandillas,gangs
21,las mulas,mules
22,padecer,to suffer/to endure
23,secuestrar,to kidnap
24,la venganza,revenge
25,vigilar,to monitor/to police
26,violar,to violate
27,la legalización,legalization
28,la despenalización,decriminalization
29,el tráfico de drogas,drug trafficking
30,los/las traficantes,drug traffickers
31,declarar la guerra,to declare war
32,los pandilleros,gang members
33,el consumo de drogas,drug use
34,la Agencia Antidrogas/la DEA,DEA
35,el contrabando,smuggling
36,el mercado negro,black market
37,el indulto,pardon
