,Spanish,English,Audio
0,El acta de nacimiento es un documento oficial que certifica el nacimiento de una persona.,The birth certificate is an official document certifying a person's birth.,./Sentences/Consular/audio/0_Consular_audio.mp3
1,El ADN es la molécula que contiene la información genética de los seres vivos.,DNA is the molecule that contains the genetic information of living beings.,./Sentences/Consular/audio/1_Consular_audio.mp3
2,La adopción es un proceso legal mediante el cual una persona asume la responsabilidad parental de otra.,Adoption is a legal process by which one person assumes parental responsibility for another.,./Sentences/Consular/audio/2_Consular_audio.mp3
3,El apellido materno es el apellido que una persona recibe de su madre.,The maternal surname is the surname a person receives from their mother.,./Sentences/Consular/audio/3_Consular_audio.mp3
4,El apellido paterno es el apellido que una persona recibe de su padre.,The paternal surname is the surname a person receives from their father.,./Sentences/Consular/audio/4_Consular_audio.mp3
5,La beca le permitió a María estudiar en la universidad.,The scholarship allowed Maria to study at the university.,./Sentences/Consular/audio/5_Consular_audio.mp3
6,El anfitrión brindó a sus invitados una cálida bienvenida.,The host offered his guests a warm welcome.,./Sentences/Consular/audio/6_Consular_audio.mp3
7,El brindis fue por la felicidad de los recién casados.,The toast was for the happiness of the newlyweds.,./Sentences/Consular/audio/7_Consular_audio.mp3
8,El campesino trabaja en el campo cultivando la tierra.,The peasant works in the fields cultivating the land.,./Sentences/Consular/audio/8_Consular_audio.mp3
9,La cárcel es un lugar de reclusión para personas condenadas por delitos.,The jail is a place of confinement for people convicted of crimes.,./Sentences/Consular/audio/9_Consular_audio.mp3
10,La carrera universitaria de medicina requiere muchos años de estudio.,The university career in medicine requires many years of study.,./Sentences/Consular/audio/10_Consular_audio.mp3
11,El caso está siendo investigado por las autoridades.,The case is being investigated by the authorities.,./Sentences/Consular/audio/11_Consular_audio.mp3
12,El centro de detención alberga a personas que esperan su proceso de inmigración.,The detention center houses people awaiting their immigration process.,./Sentences/Consular/audio/12_Consular_audio.mp3
13,La ciudadanía otorga derechos y responsabilidades a los ciudadanos de un país.,Citizenship grants rights and responsibilities to the citizens of a country.,./Sentences/Consular/audio/13_Consular_audio.mp3
14,La condena por robo fue de cinco años de prisión.,The sentence for robbery was five years in prison.,./Sentences/Consular/audio/14_Consular_audio.mp3
15,El consentimiento es necesario para realizar ciertos procedimientos médicos.,Consent is necessary for certain medical procedures.,./Sentences/Consular/audio/15_Consular_audio.mp3
16,El cónsul está encargado de proteger los intereses de sus ciudadanos en el extranjero.,The consul is responsible for protecting the interests of their citizens abroad.,./Sentences/Consular/audio/16_Consular_audio.mp3
17,El cónsul general es el representante diplomático de mayor rango en un consulado.,The consul general is the highest-ranking diplomatic representative in a consulate.,./Sentences/Consular/audio/17_Consular_audio.mp3
18,El consulado ofrece servicios consulares a los ciudadanos de su país en el extranjero.,The consulate offers consular services to the citizens of its country abroad.,./Sentences/Consular/audio/18_Consular_audio.mp3
