,Spanish,English,Audio
0,Abogar por los derechos humanos es fundamental en una sociedad justa.,Advocating for human rights is essential in a just society.,./Sentences/Diplomacia Pública/audio/0_Diplomacia Pública_audio.mp3
1,El abogado defensor presentó al adversario como el principal sospechoso.,The defense lawyer presented the adversary as the main suspect.,./Sentences/Diplomacia Pública/audio/1_Diplomacia Pública_audio.mp3
2,Recibí una advertencia sobre el peligro de cruzar la calle sin mirar.,I received a warning about the danger of crossing the street without looking.,./Sentences/Diplomacia Pública/audio/2_Diplomacia Pública_audio.mp3
3,El estrés puede afectar negativamente la salud mental.,Stress can negatively affect mental health.,./Sentences/Diplomacia Pública/audio/3_Diplomacia Pública_audio.mp3
4,El analista financiero predijo un aumento en el mercado de valores.,The financial analyst predicted an increase in the stock market.,./Sentences/Diplomacia Pública/audio/4_Diplomacia Pública_audio.mp3
5,El arte moderno puede ser difícil de entender para algunos.,Modern art can be difficult to understand for some.,./Sentences/Diplomacia Pública/audio/5_Diplomacia Pública_audio.mp3
6,"Este suéter fue tejido a mano, es una prenda artesanal.","This sweater was hand-knitted, it's an artisanal garment.",./Sentences/Diplomacia Pública/audio/6_Diplomacia Pública_audio.mp3
7,Asistiré a la conferencia sobre cambio climático la próxima semana.,I will attend the conference on climate change next week.,./Sentences/Diplomacia Pública/audio/7_Diplomacia Pública_audio.mp3
8,El asunto de la reunión es la planificación del proyecto.,The subject of the meeting is the project planning.,./Sentences/Diplomacia Pública/audio/8_Diplomacia Pública_audio.mp3
9,La empresa decidió auspiciar el evento benéfico.,The company decided to sponsor the charity event.,./Sentences/Diplomacia Pública/audio/9_Diplomacia Pública_audio.mp3
10,"Después de obtener el bachillerato, planeo estudiar medicina.","After obtaining my high school diploma, I plan to study medicine.",./Sentences/Diplomacia Pública/audio/10_Diplomacia Pública_audio.mp3
11,Recibí una beca para estudiar en el extranjero el próximo año.,I received a scholarship to study abroad next year.,./Sentences/Diplomacia Pública/audio/11_Diplomacia Pública_audio.mp3
12,La biblioteca tiene una amplia colección de libros en varios idiomas.,The library has a wide collection of books in various languages.,./Sentences/Diplomacia Pública/audio/12_Diplomacia Pública_audio.mp3
13,Brindemos por el éxito de nuestro proyecto.,Let's toast to the success of our project.,./Sentences/Diplomacia Pública/audio/13_Diplomacia Pública_audio.mp3
14,El brindis del novio fue emotivo y conmovedor.,The groom's toast was emotional and touching.,./Sentences/Diplomacia Pública/audio/14_Diplomacia Pública_audio.mp3
15,La campaña de concienciación sobre el reciclaje fue un éxito.,The recycling awareness campaign was a success.,./Sentences/Diplomacia Pública/audio/15_Diplomacia Pública_audio.mp3
16,Estoy estudiando una carrera en ingeniería civil.,I am studying a career in civil engineering.,./Sentences/Diplomacia Pública/audio/16_Diplomacia Pública_audio.mp3
17,La celebración del aniversario de la empresa será en el hotel.,The celebration of the company's anniversary will be at the hotel.,./Sentences/Diplomacia Pública/audio/17_Diplomacia Pública_audio.mp3
18,Vamos a celebrar el cumpleaños de mi abuela en familia.,We are going to celebrate my grandmother's birthday with family.,./Sentences/Diplomacia Pública/audio/18_Diplomacia Pública_audio.mp3
19,La central de operaciones coordina las actividades de la empresa.,The operations center coordinates the company's activities.,./Sentences/Diplomacia Pública/audio/19_Diplomacia Pública_audio.mp3
20,La ciudadanía es un derecho fundamental en cualquier sociedad democrática.,Citizenship is a fundamental right in any democratic society.,./Sentences/Diplomacia Pública/audio/20_Diplomacia Pública_audio.mp3
21,El colegio electoral es el encargado de elegir al presidente.,The electoral college is responsible for electing the president.,./Sentences/Diplomacia Pública/audio/21_Diplomacia Pública_audio.mp3
22,La competencia en el mercado es beneficiosa para los consumidores.,Competition in the market is beneficial for consumers.,./Sentences/Diplomacia Pública/audio/22_Diplomacia Pública_audio.mp3
23,El comunicado de prensa anunció la nueva política de la empresa.,The press release announced the company's new policy.,./Sentences/Diplomacia Pública/audio/23_Diplomacia Pública_audio.mp3
24,La conferencia sobre cambio climático se llevará a cabo la próxima semana.,The conference on climate change will take place next week.,./Sentences/Diplomacia Pública/audio/24_Diplomacia Pública_audio.mp3
25,El congresista presentó un proyecto de ley para mejorar la educación.,The congressman introduced a bill to improve education.,./Sentences/Diplomacia Pública/audio/25_Diplomacia Pública_audio.mp3
26,El conservador se opuso a la reforma fiscal.,The conservative opposed the tax reform.,./Sentences/Diplomacia Pública/audio/26_Diplomacia Pública_audio.mp3
27,El contacto con otras culturas enriquece nuestra perspectiva.,Contact with other cultures enriches our perspective.,./Sentences/Diplomacia Pública/audio/27_Diplomacia Pública_audio.mp3
28,La convocatoria para el concurso de arte está abierta a artistas de todas las edades.,The call for the art competition is open to artists of all ages.,./Sentences/Diplomacia Pública/audio/28_Diplomacia Pública_audio.mp3
29,La costumbre de celebrar el Día de los Muertos es muy arraigada en México.,The custom of celebrating the Day of the Dead is deeply rooted in Mexico.,./Sentences/Diplomacia Pública/audio/29_Diplomacia Pública_audio.mp3
30,La cuenta del restaurante incluía el costo de la comida y las bebidas.,The bill at the restaurant included the cost of the food and drinks.,./Sentences/Diplomacia Pública/audio/30_Diplomacia Pública_audio.mp3
