,Spanish,English,Audio
0,Juan decidió abandonar su ciudad natal en busca de mejores oportunidades.,Juan decided to leave his hometown in search of better opportunities.,./Sentences/Inmigración/audio/0_Inmigración_audio.mp3
1,Es importante adaptarse rápidamente a los cambios en el entorno laboral.,It is important to quickly adapt to changes in the work environment.,./Sentences/Inmigración/audio/1_Inmigración_audio.mp3
2,Muchas personas intentan cruzar el río pero corren el riesgo de ahogarse.,Many people try to cross the river but run the risk of drowning.,./Sentences/Inmigración/audio/2_Inmigración_audio.mp3
3,Los inmigrantes hacen un gran esfuerzo por asimilarse a la nueva cultura.,Immigrants make a great effort to assimilate into the new culture.,./Sentences/Inmigración/audio/3_Inmigración_audio.mp3
4,"Cada mañana, tengo que cruzar el puente para llegar al trabajo.","Every morning, I have to cross the bridge to get to work.",./Sentences/Inmigración/audio/4_Inmigración_audio.mp3
5,Es nuestro deber cívico denunciar cualquier acto de corrupción que observemos.,It is our civic duty to denounce any act of corruption we observe.,./Sentences/Inmigración/audio/5_Inmigración_audio.mp3
6,La policía tuvo que detener al sospechoso después de la persecución.,The police had to detain the suspect after the chase.,./Sentences/Inmigración/audio/6_Inmigración_audio.mp3
7,No debemos discriminar a las personas por su origen o creencias.,We should not discriminate against people based on their origin or beliefs.,./Sentences/Inmigración/audio/7_Inmigración_audio.mp3
8,El abandono de mascotas es un problema grave en muchas ciudades.,The abandonment of pets is a serious problem in many cities.,./Sentences/Inmigración/audio/8_Inmigración_audio.mp3
9,El asilo político es un derecho para aquellos que enfrentan persecución en sus países.,Political asylum is a right for those facing persecution in their countries.,./Sentences/Inmigración/audio/9_Inmigración_audio.mp3
10,El campamento de refugiados proporciona refugio temporal a familias desplazadas.,The refugee camp provides temporary shelter to displaced families.,./Sentences/Inmigración/audio/10_Inmigración_audio.mp3
11,El choque cultural puede ser desafiante para los que viven en un país extranjero.,Cultural shock can be challenging for those living in a foreign country.,./Sentences/Inmigración/audio/11_Inmigración_audio.mp3
12,El indocumentado fue detenido por las autoridades al intentar cruzar la frontera.,The undocumented person was detained by the authorities while trying to cross the border.,./Sentences/Inmigración/audio/12_Inmigración_audio.mp3
13,El muro en la frontera ha sido un tema de mucha controversia política.,The wall on the border has been a subject of much political controversy.,./Sentences/Inmigración/audio/13_Inmigración_audio.mp3
14,Obtener el permiso de residencia le permitió a Carlos vivir legalmente en el país.,Obtaining the residence permit allowed Carlos to live legally in the country.,./Sentences/Inmigración/audio/14_Inmigración_audio.mp3
15,"Sin el permiso de trabajo, es difícil para los inmigrantes encontrar empleo formal.","Without the work permit, it is difficult for immigrants to find formal employment.",./Sentences/Inmigración/audio/15_Inmigración_audio.mp3
16,El prejuicio contra los extranjeros puede llevar a la discriminación y la injusticia.,Prejudice against foreigners can lead to discrimination and injustice.,./Sentences/Inmigración/audio/16_Inmigración_audio.mp3
17,El refugiado fue acogido por una familia local mientras esperaba su reubicación.,The refugee was welcomed by a local family while awaiting relocation.,./Sentences/Inmigración/audio/17_Inmigración_audio.mp3
18,"El riesgo de invertir en el mercado de valores puede ser alto, pero también lo pueden ser las recompensas.","The risk of investing in the stock market can be high, but so can the rewards.",./Sentences/Inmigración/audio/18_Inmigración_audio.mp3
19,El sacrificio de los padres por la educación de sus hijos a menudo pasa desapercibido.,The sacrifice of parents for their children's education often goes unnoticed.,./Sentences/Inmigración/audio/19_Inmigración_audio.mp3
20,El soñador siempre imaginaba un mundo sin fronteras.,The dreamer always imagined a world without borders.,./Sentences/Inmigración/audio/20_Inmigración_audio.mp3
21,"Cada noche, el sueño de una vida mejor motivaba a José a seguir adelante.","Every night, the dream of a better life motivated José to keep going.",./Sentences/Inmigración/audio/21_Inmigración_audio.mp3
22,El inmigrante compartió su historia de superación con la comunidad.,The immigrant shared his story of overcoming with the community.,./Sentences/Inmigración/audio/22_Inmigración_audio.mp3
23,La policía investigó el caso con diligencia y profesionalismo.,The police investigated the case with diligence and professionalism.,./Sentences/Inmigración/audio/23_Inmigración_audio.mp3
24,El racista fue condenado por incitar al odio en un discurso público.,The racist was convicted for inciting hate in a public speech.,./Sentences/Inmigración/audio/24_Inmigración_audio.mp3
25,Muchos jóvenes deciden emigrar en busca de oportunidades de educación.,Many young people decide to emigrate in search of educational opportunities.,./Sentences/Inmigración/audio/25_Inmigración_audio.mp3
26,La familia tuvo que huir de su país debido a la guerra civil.,The family had to flee their country due to the civil war.,./Sentences/Inmigración/audio/26_Inmigración_audio.mp3
27,"Después de años de espera, finalmente pudieron inmigrar a Canadá.","After years of waiting, they were finally able to immigrate to Canada.",./Sentences/Inmigración/audio/27_Inmigración_audio.mp3
28,La convivencia entre diferentes culturas enriquece a la sociedad.,Coexistence between different cultures enriches society.,./Sentences/Inmigración/audio/28_Inmigración_audio.mp3
29,La deportación del trabajador dejó a su familia en una situación precaria.,The deportation of the worker left his family in a precarious situation.,./Sentences/Inmigración/audio/29_Inmigración_audio.mp3
30,La detención del sospechoso ocurrió sin incidentes.,The detention of the suspect occurred without incident.,./Sentences/Inmigración/audio/30_Inmigración_audio.mp3
