,Spanish,English,Audio
0,Tengo a mi profesor por un gran mentor.,I consider my teacher a great mentor.,./Sentences/Frases con Tener/audio/0_Frases con Tener_audio.mp3
1,Mi abuela tiene 80 años y sigue siendo muy activa.,My grandmother is 80 years old and still very active.,./Sentences/Frases con Tener/audio/1_Frases con Tener_audio.mp3
2,Mañana tengo que hacer una presentación importante en el trabajo.,Tomorrow I have to give an important presentation at work.,./Sentences/Frases con Tener/audio/2_Frases con Tener_audio.mp3
3,"Después de perder su trabajo, Juan no tenía donde caerse muerto.","After losing his job, Juan had nowhere to fall dead, meaning he was completely broke.",./Sentences/Frases con Tener/audio/3_Frases con Tener_audio.mp3
4,"Como director de la empresa, tengo mucho que perder si este trato no funciona.","As the director of the company, I have a lot to lose if this deal doesn't work out.",./Sentences/Frases con Tener/audio/4_Frases con Tener_audio.mp3
5,"Ella no tiene nada que perder, así que decidió arriesgarse y empezar su propio negocio.","She has nothing to lose, so she decided to take a risk and start her own business.",./Sentences/Frases con Tener/audio/5_Frases con Tener_audio.mp3
6,"Después de trabajar todo el día, tengo hambre.","After working all day, I am hungry.",./Sentences/Frases con Tener/audio/6_Frases con Tener_audio.mp3
7,"En pleno verano, todos tenemos calor.","In the middle of summer, we all feel hot.",./Sentences/Frases con Tener/audio/7_Frases con Tener_audio.mp3
8,"Después de estudiar toda la noche, tengo sueño.","After studying all night, I am sleepy.",./Sentences/Frases con Tener/audio/8_Frases con Tener_audio.mp3
9,"Después de correr, siempre tengo sed.","After running, I always feel thirsty.",./Sentences/Frases con Tener/audio/9_Frases con Tener_audio.mp3
10,"Con este clima frío, no es raro que tenga tos.","With this cold weather, it's not unusual for me to have a cough.",./Sentences/Frases con Tener/audio/10_Frases con Tener_audio.mp3
11,"Si tienes fiebre, deberías quedarte en casa y descansar.","If you have a fever, you should stay home and rest.",./Sentences/Frases con Tener/audio/11_Frases con Tener_audio.mp3
12,"Después de levantar pesas, tengo dolor en los brazos.","After lifting weights, I have pain in my arms.",./Sentences/Frases con Tener/audio/12_Frases con Tener_audio.mp3
13,Juan tiene mala cara esta mañana; creo que no se siente bien.,Juan looks unwell this morning; I think he's not feeling good.,./Sentences/Frases con Tener/audio/13_Frases con Tener_audio.mp3
14,"Cuando escucho ruidos extraños en la noche, tengo miedo.","When I hear strange noises at night, I get scared.",./Sentences/Frases con Tener/audio/14_Frases con Tener_audio.mp3
15,"Es normal tener celos a veces, pero no debes dejar que te controlen.","It's normal to feel jealous sometimes, but you shouldn't let it control you.",./Sentences/Frases con Tener/audio/15_Frases con Tener_audio.mp3
16,A veces tengo envidia de las personas que pueden viajar todo el tiempo.,Sometimes I feel envious of people who can travel all the time.,./Sentences/Frases con Tener/audio/16_Frases con Tener_audio.mp3
17,Tengo confianza en mi equipo; sé que podemos ganar el partido.,I have confidence in my team; I know we can win the match.,./Sentences/Frases con Tener/audio/17_Frases con Tener_audio.mp3
