,Spanish,English,Audio
0,Había mencionado que llegaría tarde a la reunión.,I had mentioned that I would be late to the meeting.,./Sentences/Week 11/audio/0_Week 11_audio.mp3
1,Había trabajado en esa empresa por más de diez años.,I had worked at that company for over ten years.,./Sentences/Week 11/audio/1_Week 11_audio.mp3
2,Disfrutamos de una agradable estadía en el hotel.,We enjoyed a pleasant stay at the hotel.,./Sentences/Week 11/audio/2_Week 11_audio.mp3
3,"A pesar de tener poco tiempo, logré terminar el proyecto a tiempo.","Despite having little time, I managed to finish the project on time.",./Sentences/Week 11/audio/3_Week 11_audio.mp3
4,Yo estoy orgullosa de ser estadounidense y de representar a mi país en el extranjero.,I am proud to be American and to represent my country abroad.,./Sentences/Week 11/audio/4_Week 11_audio.mp3
5,Nos distingue nuestra dedicación al trabajo en equipo.,What sets us apart is our dedication to teamwork.,./Sentences/Week 11/audio/5_Week 11_audio.mp3
6,Las olas de inmigración han enriquecido nuestra cultura.,Waves of immigration have enriched our culture.,./Sentences/Week 11/audio/6_Week 11_audio.mp3
7,"Debido a lo que han aportado los inmigrantes, nuestra sociedad es diversa y vibrante.","Because of what immigrants have contributed, our society is diverse and vibrant.",./Sentences/Week 11/audio/7_Week 11_audio.mp3
8,Nuestros valores nos guían en todo lo que hacemos.,Our values guide us in everything we do.,./Sentences/Week 11/audio/8_Week 11_audio.mp3
9,Los Estados Unidos es conocido como la tierra de oportunidades.,The United States is known as the land of opportunity.,./Sentences/Week 11/audio/9_Week 11_audio.mp3
10,Muchos vienen a este país para hacer sus sueños realidad.,Many come to this country to make their dreams come true.,./Sentences/Week 11/audio/10_Week 11_audio.mp3
11,Nuestros fundadores habían pensado en un gobierno basado en la libertad y la igualdad.,Our founders had envisioned a government based on freedom and equality.,./Sentences/Week 11/audio/11_Week 11_audio.mp3
12,La libertad de expresión es un derecho fundamental en nuestra sociedad.,Freedom of speech is a fundamental right in our society.,./Sentences/Week 11/audio/12_Week 11_audio.mp3
13,Estoy consciente de la importancia de esta decisión.,I am aware of the importance of this decision.,./Sentences/Week 11/audio/13_Week 11_audio.mp3
14,Hemos enfrentado desafíos similares en el pasado.,We have faced similar challenges in the past.,./Sentences/Week 11/audio/14_Week 11_audio.mp3
15,Estos eventos vuelven a recordarnos la importancia de la unidad.,These events remind us once again of the importance of unity.,./Sentences/Week 11/audio/15_Week 11_audio.mp3
16,"A pesar de las dificultades, volvemos a levantarnos con determinación.","Despite the difficulties, we rise again with determination.",./Sentences/Week 11/audio/16_Week 11_audio.mp3
17,Es importante honrar a nuestros antepasados y su legado.,It is important to honor our ancestors and their legacy.,./Sentences/Week 11/audio/17_Week 11_audio.mp3
18,Vuelvo a repetir que la honestidad es fundamental en esta empresa.,I repeat that honesty is fundamental in this company.,./Sentences/Week 11/audio/18_Week 11_audio.mp3
19,Había estado en París antes de ingresar al Departamento de Estado.,I had been in Paris before joining the Department of State.,./Sentences/Week 11/audio/19_Week 11_audio.mp3
20,"Lo sigo estando, a pesar de las dificultades.","I still am, despite the difficulties.",./Sentences/Week 11/audio/20_Week 11_audio.mp3
21,Acontecimientos importantes han marcado los últimos 40 años de historia.,Important events have marked the last 40 years of history.,./Sentences/Week 11/audio/21_Week 11_audio.mp3
22,"Por haber aceptado el desafío, logró alcanzar sus metas.","By accepting the challenge, she managed to achieve her goals.",./Sentences/Week 11/audio/22_Week 11_audio.mp3
23,Tienen derecho al voto todos los ciudadanos mayores de edad.,All citizens of legal age have the right to vote.,./Sentences/Week 11/audio/23_Week 11_audio.mp3
24,"Es decir, pueden elegir a los políticos que los representarán.","In other words, they can choose the politicians who will represent them.",./Sentences/Week 11/audio/24_Week 11_audio.mp3
25,La transición hacia una democracia fue un proceso complejo.,The transition to democracy was a complex process.,./Sentences/Week 11/audio/25_Week 11_audio.mp3
26,"En aquellas elecciones, se redactó una nueva constitución.","In those elections, a new constitution was drafted.",./Sentences/Week 11/audio/26_Week 11_audio.mp3
27,"Por aquel entonces, las mujeres ejercieron su derecho al voto por primera vez.","Back then, women exercised their right to vote for the first time.",./Sentences/Week 11/audio/27_Week 11_audio.mp3
28,"Además de su éxito profesional, tiene otros logros personales importantes.","In addition to her professional success, she has other significant personal achievements.",./Sentences/Week 11/audio/28_Week 11_audio.mp3
29,Hubo una superación colectiva de los mayores desafíos.,There was a collective overcoming of the greatest challenges.,./Sentences/Week 11/audio/29_Week 11_audio.mp3
30,¿Qué otros logros destacarías de este período histórico?,What other achievements would you highlight from this historical period?,./Sentences/Week 11/audio/30_Week 11_audio.mp3
31,El ingreso de la empresa aumentó significativamente el último trimestre.,The company's income increased significantly last quarter.,./Sentences/Week 11/audio/31_Week 11_audio.mp3
32,El nacimiento de su hijo marcó un antes y un después en su vida.,The birth of her son marked a before and after in her life.,./Sentences/Week 11/audio/32_Week 11_audio.mp3
33,El número de empleados se redujo debido a la crisis económica.,The number of employees decreased due to the economic crisis.,./Sentences/Week 11/audio/33_Week 11_audio.mp3
34,Mucha gente se pregunta si el cambio climático es reversible.,Many people wonder if climate change is reversible.,./Sentences/Week 11/audio/34_Week 11_audio.mp3
35,Tratamos de mantener informado al público sobre los avances en la investigación.,We try to keep the public informed about the progress in the investigation.,./Sentences/Week 11/audio/35_Week 11_audio.mp3
36,La comunicación efectiva es clave para el éxito de cualquier proyecto.,Effective communication is key to the success of any project.,./Sentences/Week 11/audio/36_Week 11_audio.mp3
37,El vocero de la compañía emitió un comunicado oficial sobre el incidente.,The company's spokesperson issued an official statement about the incident.,./Sentences/Week 11/audio/37_Week 11_audio.mp3
38,Los medios de comunicación desempeñan un papel crucial en la sociedad actual.,The media plays a crucial role in today's society.,./Sentences/Week 11/audio/38_Week 11_audio.mp3
39,El equipo logró resolver el problema eficazmente y dentro del plazo establecido.,The team managed to solve the problem effectively and within the established deadline.,./Sentences/Week 11/audio/39_Week 11_audio.mp3
40,La central de operaciones coordina las acciones de emergencia en caso de desastres naturales.,The operations center coordinates emergency actions in case of natural disasters.,./Sentences/Week 11/audio/40_Week 11_audio.mp3
41,El acontecer cotidiano puede ser una fuente de inspiración para los escritores.,Daily events can be a source of inspiration for writers.,./Sentences/Week 11/audio/41_Week 11_audio.mp3
42,El periodista abordó el tema con mucho tacto y sensibilidad.,The journalist addressed the issue with a lot of tact and sensitivity.,./Sentences/Week 11/audio/42_Week 11_audio.mp3
43,"Teniendo en cuenta las circunstancias, decidieron posponer el evento.","Taking the circumstances into account, they decided to postpone the event.",./Sentences/Week 11/audio/43_Week 11_audio.mp3
44,La postura del gobierno actual respecto a la inmigración ha generado controversia.,The current government's stance on immigration has sparked controversy.,./Sentences/Week 11/audio/44_Week 11_audio.mp3
45,Él mantuvo la calma durante la crisis y tomó decisiones acertadas.,He remained calm during the crisis and made the right decisions.,./Sentences/Week 11/audio/45_Week 11_audio.mp3
46,En ningún momento dudé de su lealtad hacia la empresa.,At no time did I doubt his loyalty to the company.,./Sentences/Week 11/audio/46_Week 11_audio.mp3
47,Estuvo siempre a la altura de las expectativas de sus superiores.,He was always up to the expectations of his superiors.,./Sentences/Week 11/audio/47_Week 11_audio.mp3
48,Todo ciudadano tiene derecho a un juicio justo y equitativo.,Every citizen has the right to a fair and equitable trial.,./Sentences/Week 11/audio/48_Week 11_audio.mp3
49,La propaganda difunde mensajes que buscan influir en la opinión pública.,Propaganda spreads messages that seek to influence public opinion.,./Sentences/Week 11/audio/49_Week 11_audio.mp3
50,El público termina aceptando la nueva política de la empresa.,The public ends up accepting the company's new policy.,./Sentences/Week 11/audio/50_Week 11_audio.mp3
51,"Aprovechando el buen clima, salimos a dar un paseo por el parque.","Taking advantage of the good weather, we went for a walk in the park.",./Sentences/Week 11/audio/51_Week 11_audio.mp3
52,"En definitiva, la educación es la clave para el progreso de una sociedad.","Ultimately, education is the key to the progress of a society.",./Sentences/Week 11/audio/52_Week 11_audio.mp3
53,"Mintiendo sobre sus logros, perdió la confianza de sus colegas.","By lying about his achievements, he lost the trust of his colleagues.",./Sentences/Week 11/audio/53_Week 11_audio.mp3
54,Las redes sociales tienden a exagerar la realidad.,Social media tends to exaggerate reality.,./Sentences/Week 11/audio/54_Week 11_audio.mp3
55,Distraer a los estudiantes con dispositivos electrónicos afecta su rendimiento académico.,Distracting students with electronic devices affects their academic performance.,./Sentences/Week 11/audio/55_Week 11_audio.mp3
56,Los verdaderos puntos en cuestión no se han abordado en esta discusión.,The real issues have not been addressed in this discussion.,./Sentences/Week 11/audio/56_Week 11_audio.mp3
57,Denigran a las mujeres con comentarios sexistas.,They denigrate women with sexist comments.,./Sentences/Week 11/audio/57_Week 11_audio.mp3
58,Le colocan a la persona una etiqueta negativa sin conocerla realmente.,They put a negative label on the person without really knowing them.,./Sentences/Week 11/audio/58_Week 11_audio.mp3
59,Lo que pasó fue lo siguiente: discutieron y luego se marcharon enojados.,What happened was the following: they argued and then left angry.,./Sentences/Week 11/audio/59_Week 11_audio.mp3
60,"Dirigido por un director experimentado, el filme recibió críticas positivas.","Directed by an experienced director, the film received positive reviews.",./Sentences/Week 11/audio/60_Week 11_audio.mp3
61,Había adquirido un nuevo sentido de independencia después de vivir en el extranjero.,She had gained a new sense of independence after living abroad.,./Sentences/Week 11/audio/61_Week 11_audio.mp3
62,Los presuntos ladrones fueron arrestados por la policía.,The alleged thieves were arrested by the police.,./Sentences/Week 11/audio/62_Week 11_audio.mp3
63,Cabe destacar la importancia de la colaboración en equipo para lograr el éxito.,It is worth noting the importance of teamwork in achieving success.,./Sentences/Week 11/audio/63_Week 11_audio.mp3
64,Hacienda anunció nuevas medidas para impulsar la economía del país.,The Treasury announced new measures to boost the country's economy.,./Sentences/Week 11/audio/64_Week 11_audio.mp3
65,El dueño del restaurante decidió ampliar el menú para incluir platos vegetarianos.,The restaurant owner decided to expand the menu to include vegetarian dishes.,./Sentences/Week 11/audio/65_Week 11_audio.mp3
66,Enseguida llamaron a la policía para resolver el problema.,They immediately called the police to resolve the issue.,./Sentences/Week 11/audio/66_Week 11_audio.mp3
67,Una conferencia de prensa se llevará a cabo mañana por la mañana.,A press conference will take place tomorrow morning.,./Sentences/Week 11/audio/67_Week 11_audio.mp3
68,El jefe del ejecutivo fue despedido debido a su mala gestión.,The chief executive was fired due to his poor management.,./Sentences/Week 11/audio/68_Week 11_audio.mp3
69,Las declaraciones del portavoz causaron controversia en la opinión pública.,The spokesperson's statements caused controversy in the public opinion.,./Sentences/Week 11/audio/69_Week 11_audio.mp3
70,No debemos rendirnos ante las dificultades que se nos presenten.,We must not give up in the face of the difficulties that arise.,./Sentences/Week 11/audio/70_Week 11_audio.mp3
71,El presidente hizo un llamado a la resistencia pacífica.,The president made a call for peaceful resistance.,./Sentences/Week 11/audio/71_Week 11_audio.mp3
72,Les recordó a todos los empleados la importancia de cumplir con las normas de seguridad.,He reminded all the employees of the importance of complying with the safety regulations.,./Sentences/Week 11/audio/72_Week 11_audio.mp3
73,"Por último, quiero agradecer a todos los que colaboraron en este proyecto.","Finally, I want to thank everyone who collaborated on this project.",./Sentences/Week 11/audio/73_Week 11_audio.mp3
