,Spanish,English
0,Tener a alguien por,To think (or assess) that someone has a certain quality
1,Tener años,To be a certain age
2,Tener que hacer,To have to do something
3,No tener donde caerse muerto,To be very poor (to not have a place to drop dead)
4,Tener algo/mucho que perder,To have something/a lot to lose
5,No tener nada que perder,To have nothing to lose
6,Tener hambre,To be hungry
7,Tener calor,To feel hot
8,Tener sueño,To be sleepy
9,Tener sed,To be thirsty
10,Tener tos,To have a cough
11,Tener fiebre,To have a fever
12,Tener dolor,To have pain
13,Tener mala cara,To look unwell or tired
14,Tener miedo,To be afraid
15,Tener celos,To be jealous
16,Tener envidia,To be envious
17,Tener confianza en,To trust in someone/something
18,Tener /no tener vergüenza,To have / not have shame
19,Tenerle lástima a,To feel pity for someone
20,Tener pensado,To have something planned
21,Tener cuidado,To be careful
22,Tener prisa,To be in a hurry
23,Tener éxito,To be successful
24,Tener nervios de acero,To have nerves of steel
25,Tener razón,To be right
26,Tener la culpa,To be guilty
27,Tener suerte,To be lucky
28,Tener algo/alguien en cuenta,To consider something/someone
29,Tener lugar,To take place
30,Tener lo suyo,To have something special
31,Tener sentido,To make sense
32,Tener que ver con,To have to do with something/someone
33,Tenerlo difícil/fácil,To have it difficult or easy
34,Tenerle cariño a,To be fond of someone
35,Tener un día bueno/malo,To have a good/bad day
36,Tener ganas de,To feel like doing something
37,No tener abuela,To be full of oneself
38,No tener nombre,To be unspeakable
39,No tener ni pies ni cabeza,To make no sense
40,No tener ni para pipas,To be broke
41,No tener pelos en la lengua,"To speak one's mind bluntly, to not mince words"
42,No tener ni un pelo de tonto,To be not at all foolish
43,No tener vuelta de hoja,"To be final, without turnback or turning of the page"
44,No tener oficio ni beneficio,To be good for nothing
45,Tener idea /no tener ni idea,"To have or not have an idea, know something"
46,Tener la sartén por el mango,To have the upper hand
47,Tener mucho morro,To be very cheeky
48,Tener un morro que se lo pisa,To be extremely cheeky
49,Tener más cara que la espalda,To be very shameless
50,Tener enchufe(s),To have connections
51,No tener casa ni hogar,To be homeless
52,No tener corazón,To be heartless
53,No tener corazón para hacer,To not have the heart to do something
54,No tener dos dedos de frente,To be not very smart
