,Spanish,English,Audio
0,La acreditación es necesaria para ingresar al evento.,The accreditation is necessary to enter the event.,./Sentences/Administración y Gerencia/audio/0_Administración y Gerencia_audio.mp3
1,La administración de la empresa está implementando nuevas políticas.,The company's administration is implementing new policies.,./Sentences/Administración y Gerencia/audio/1_Administración y Gerencia_audio.mp3
2,El personal administrativo está trabajando en un informe importante.,The administrative staff is working on an important report.,./Sentences/Administración y Gerencia/audio/2_Administración y Gerencia_audio.mp3
3,Debes pasar por la aduana antes de salir del país.,You must go through customs before leaving the country.,./Sentences/Administración y Gerencia/audio/3_Administración y Gerencia_audio.mp3
4,Llegaré al aeropuerto una hora antes de mi vuelo.,I will arrive at the airport an hour before my flight.,./Sentences/Administración y Gerencia/audio/4_Administración y Gerencia_audio.mp3
5,El alto riesgo de la inversión no detuvo al empresario.,The high risk of the investment did not deter the entrepreneur.,./Sentences/Administración y Gerencia/audio/5_Administración y Gerencia_audio.mp3
6,El análisis financiero reveló la salud económica de la empresa.,The financial analysis revealed the economic health of the company.,./Sentences/Administración y Gerencia/audio/6_Administración y Gerencia_audio.mp3
7,El apartamento tiene una hermosa vista al mar.,The apartment has a beautiful ocean view.,./Sentences/Administración y Gerencia/audio/7_Administración y Gerencia_audio.mp3
8,Voy a arreglar la reunión para la próxima semana.,I will arrange the meeting for next week.,./Sentences/Administración y Gerencia/audio/8_Administración y Gerencia_audio.mp3
9,El gerente va a asignar nuevas responsabilidades al equipo.,The manager is going to assign new responsibilities to the team.,./Sentences/Administración y Gerencia/audio/9_Administración y Gerencia_audio.mp3
10,Tomaré el autobús para ir al centro de la ciudad.,I will take the bus to go to the city center.,./Sentences/Administración y Gerencia/audio/10_Administración y Gerencia_audio.mp3
11,Mi automóvil necesita una revisión en el taller.,My car needs a check-up at the garage.,./Sentences/Administración y Gerencia/audio/11_Administración y Gerencia_audio.mp3
12,Voy al banco a hacer un depósito.,I am going to the bank to make a deposit.,./Sentences/Administración y Gerencia/audio/12_Administración y Gerencia_audio.mp3
13,Los beneficios de la empresa aumentaron este trimestre.,The company's benefits increased this quarter.,./Sentences/Administración y Gerencia/audio/13_Administración y Gerencia_audio.mp3
14,Compré el boleto para el concierto de rock.,I bought the ticket for the rock concert.,./Sentences/Administración y Gerencia/audio/14_Administración y Gerencia_audio.mp3
15,El candidato presentó su propuesta de campaña.,The candidate presented his campaign proposal.,./Sentences/Administración y Gerencia/audio/15_Administración y Gerencia_audio.mp3
16,Recibí capacitación en técnicas de ventas.,I received training in sales techniques.,./Sentences/Administración y Gerencia/audio/16_Administración y Gerencia_audio.mp3
17,El carro necesita una reparación urgente.,The car needs an urgent repair.,./Sentences/Administración y Gerencia/audio/17_Administración y Gerencia_audio.mp3
18,Vamos a alquilar un coche para nuestras vacaciones.,We are going to rent a car for our vacation.,./Sentences/Administración y Gerencia/audio/18_Administración y Gerencia_audio.mp3
19,El combustible del avión está siendo cargado antes del despegue.,The airplane's fuel is being loaded before takeoff.,./Sentences/Administración y Gerencia/audio/19_Administración y Gerencia_audio.mp3
20,La compañía está experimentando un crecimiento significativo este año.,The company is experiencing significant growth this year.,./Sentences/Administración y Gerencia/audio/20_Administración y Gerencia_audio.mp3
21,Me encanta ir de compras los fines de semana.,I love going shopping on weekends.,./Sentences/Administración y Gerencia/audio/21_Administración y Gerencia_audio.mp3
22,Las concesiones para el nuevo proyecto fueron aprobadas por el gobierno.,The concessions for the new project were approved by the government.,./Sentences/Administración y Gerencia/audio/22_Administración y Gerencia_audio.mp3
23,El conductor del autobús nos llevó de manera segura a nuestro destino.,The bus driver safely took us to our destination.,./Sentences/Administración y Gerencia/audio/23_Administración y Gerencia_audio.mp3
24,El consejo decidió implementar nuevas políticas para mejorar la productividad.,The board decided to implement new policies to improve productivity.,./Sentences/Administración y Gerencia/audio/24_Administración y Gerencia_audio.mp3
25,La construcción del nuevo edificio comenzará el próximo mes.,The construction of the new building will start next month.,./Sentences/Administración y Gerencia/audio/25_Administración y Gerencia_audio.mp3
26,El contrato fue firmado por ambas partes ayer por la tarde.,The contract was signed by both parties yesterday afternoon.,./Sentences/Administración y Gerencia/audio/26_Administración y Gerencia_audio.mp3
27,El costo de vida en esta ciudad es bastante alto.,The cost of living in this city is quite high.,./Sentences/Administración y Gerencia/audio/27_Administración y Gerencia_audio.mp3
28,Ese vestido es demasiado costoso para mi presupuesto.,That dress is too expensive for my budget.,./Sentences/Administración y Gerencia/audio/28_Administración y Gerencia_audio.mp3
29,Necesitarás una credencial válida para ingresar al edificio.,You will need a valid credential to enter the building.,./Sentences/Administración y Gerencia/audio/29_Administración y Gerencia_audio.mp3
30,El crédito hipotecario facilitó la compra de nuestra casa.,The mortgage credit made it easier to buy our house.,./Sentences/Administración y Gerencia/audio/30_Administración y Gerencia_audio.mp3
31,¿Puedes revisar mi cuenta bancaria para ver si se realizó el depósito?,Can you check my bank account to see if the deposit was made?,./Sentences/Administración y Gerencia/audio/31_Administración y Gerencia_audio.mp3
32,El currículo vitae de la candidata destacaba su experiencia internacional.,The candidate's resume highlighted her international experience.,./Sentences/Administración y Gerencia/audio/32_Administración y Gerencia_audio.mp3
33,La empresa decidió despedir a varios empleados debido a la reestructuración.,The company decided to lay off several employees due to restructuring.,./Sentences/Administración y Gerencia/audio/33_Administración y Gerencia_audio.mp3
34,El despido del gerente sorprendió a todos en la oficina.,The manager's dismissal surprised everyone in the office.,./Sentences/Administración y Gerencia/audio/34_Administración y Gerencia_audio.mp3
35,Los fondos se destinarán a proyectos de desarrollo comunitario.,The funds will be allocated to community development projects.,./Sentences/Administración y Gerencia/audio/35_Administración y Gerencia_audio.mp3
36,La deuda de la empresa se redujo significativamente el año pasado.,The company's debt was significantly reduced last year.,./Sentences/Administración y Gerencia/audio/36_Administración y Gerencia_audio.mp3
37,La discriminación en el lugar de trabajo es inaceptable.,Discrimination in the workplace is unacceptable.,./Sentences/Administración y Gerencia/audio/37_Administración y Gerencia_audio.mp3
38,El dormitorio principal tiene un baño en suite.,The master bedroom has an en-suite bathroom.,./Sentences/Administración y Gerencia/audio/38_Administración y Gerencia_audio.mp3
39,El dueño del restaurante nos dio la bienvenida con una sonrisa.,The restaurant owner welcomed us with a smile.,./Sentences/Administración y Gerencia/audio/39_Administración y Gerencia_audio.mp3
40,El edificio tiene una arquitectura moderna y elegante.,The building has a modern and elegant architecture.,./Sentences/Administración y Gerencia/audio/40_Administración y Gerencia_audio.mp3
41,La educación es fundamental para el desarrollo de un país.,Education is fundamental for the development of a country.,./Sentences/Administración y Gerencia/audio/41_Administración y Gerencia_audio.mp3
42,La electricidad es una forma de energía muy utilizada en la actualidad.,Electricity is a form of energy widely used nowadays.,./Sentences/Administración y Gerencia/audio/42_Administración y Gerencia_audio.mp3
43,El enlace entre los dos departamentos es crucial para el éxito del proyecto.,The link between the two departments is crucial for the project's success.,./Sentences/Administración y Gerencia/audio/43_Administración y Gerencia_audio.mp3
44,El entrenamiento físico es esencial para mantenerse en forma.,Physical training is essential to stay in shape.,./Sentences/Administración y Gerencia/audio/44_Administración y Gerencia_audio.mp3
45,La entrevista de empleo determinará si consigo el trabajo.,The job interview will determine if I get the job.,./Sentences/Administración y Gerencia/audio/45_Administración y Gerencia_audio.mp3
46,La escuela donde estudio tiene excelentes instalaciones.,The school where I study has excellent facilities.,./Sentences/Administración y Gerencia/audio/46_Administración y Gerencia_audio.mp3
47,Facilitar la información necesaria agilizará el proceso.,Providing the necessary information will expedite the process.,./Sentences/Administración y Gerencia/audio/47_Administración y Gerencia_audio.mp3
48,La factura del teléfono llegó más cara de lo esperado.,The phone bill came out more expensive than expected.,./Sentences/Administración y Gerencia/audio/48_Administración y Gerencia_audio.mp3
49,Las finanzas de la empresa están en buen estado.,The company's finances are in good shape.,./Sentences/Administración y Gerencia/audio/49_Administración y Gerencia_audio.mp3
50,El flete de la mercancía se realizará la próxima semana.,The freight of the merchandise will take place next week.,./Sentences/Administración y Gerencia/audio/50_Administración y Gerencia_audio.mp3
51,Los fondos para el proyecto provienen de diferentes fuentes.,The funds for the project come from different sources.,./Sentences/Administración y Gerencia/audio/51_Administración y Gerencia_audio.mp3
52,El gasto en comida representa la mayor parte de mi presupuesto.,The expense on food represents the majority of my budget.,./Sentences/Administración y Gerencia/audio/52_Administración y Gerencia_audio.mp3
53,El hogar es un lugar de descanso y tranquilidad.,Home is a place of rest and tranquility.,./Sentences/Administración y Gerencia/audio/53_Administración y Gerencia_audio.mp3
54,El hospedaje en el hotel fue muy cómodo y agradable.,The lodging at the hotel was very comfortable and pleasant.,./Sentences/Administración y Gerencia/audio/54_Administración y Gerencia_audio.mp3
55,El hospital cuenta con un equipo médico altamente calificado.,The hospital has a highly qualified medical team.,./Sentences/Administración y Gerencia/audio/55_Administración y Gerencia_audio.mp3
56,Los impuestos son necesarios para el funcionamiento del gobierno.,Taxes are necessary for the government's operation.,./Sentences/Administración y Gerencia/audio/56_Administración y Gerencia_audio.mp3
57,El incendio en el bosque fue controlado por los bomberos.,The fire in the forest was controlled by the firefighters.,./Sentences/Administración y Gerencia/audio/57_Administración y Gerencia_audio.mp3
58,La inmobiliaria tiene varias opciones de vivienda disponibles.,The real estate agency has several housing options available.,./Sentences/Administración y Gerencia/audio/58_Administración y Gerencia_audio.mp3
59,Instalar el nuevo software llevará un par de horas.,Installing the new software will take a couple of hours.,./Sentences/Administración y Gerencia/audio/59_Administración y Gerencia_audio.mp3
60,La ley es fundamental para mantener el orden en la sociedad.,The law is essential to maintain order in society.,./Sentences/Administración y Gerencia/audio/60_Administración y Gerencia_audio.mp3
