,Spanish,English,Audio
0,Mi familia se reúne cada año para celebrar el Día de Acción de Gracias.,My family gathers every year to celebrate Thanksgiving.,./Sentences/Sociedad estadounidense/audio/0_Sociedad estadounidense_audio.mp3
1,A mi hermano le encanta jugar al béisbol los fines de semana.,My brother loves playing baseball on weekends.,./Sentences/Sociedad estadounidense/audio/1_Sociedad estadounidense_audio.mp3
2,El baloncesto es un deporte muy popular en mi escuela.,Basketball is a very popular sport at my school.,./Sentences/Sociedad estadounidense/audio/2_Sociedad estadounidense_audio.mp3
3,El debate sobre el derecho a portar armas es muy intenso en los Estados Unidos.,The debate over the right to bear arms is very intense in the United States.,./Sentences/Sociedad estadounidense/audio/3_Sociedad estadounidense_audio.mp3
4,La comunidad se unió para ayudar a las víctimas del huracán.,The community came together to help the victims of the hurricane.,./Sentences/Sociedad estadounidense/audio/4_Sociedad estadounidense_audio.mp3
5,La educación superior es clave para el desarrollo profesional.,Higher education is key for professional development.,./Sentences/Sociedad estadounidense/audio/5_Sociedad estadounidense_audio.mp3
6,Muchos inmigrantes persiguen el sueño americano en busca de una vida mejor.,Many immigrants pursue the American Dream in search of a better life.,./Sentences/Sociedad estadounidense/audio/6_Sociedad estadounidense_audio.mp3
7,La Estatua de la Libertad es un símbolo de esperanza y libertad.,The Statue of Liberty is a symbol of hope and freedom.,./Sentences/Sociedad estadounidense/audio/7_Sociedad estadounidense_audio.mp3
8,Los parques nacionales protegen la belleza natural de nuestro país.,National parks protect the natural beauty of our country.,./Sentences/Sociedad estadounidense/audio/8_Sociedad estadounidense_audio.mp3
9,La ayuda financiera es esencial para que muchos estudiantes puedan asistir a la universidad.,Financial aid is essential for many students to be able to attend college.,./Sentences/Sociedad estadounidense/audio/9_Sociedad estadounidense_audio.mp3
10,Los préstamos estudiantiles son una carga para los graduados durante años.,Student loans are a burden for graduates for years.,./Sentences/Sociedad estadounidense/audio/10_Sociedad estadounidense_audio.mp3
11,El seguro médico es un tema de gran preocupación para muchas familias.,Health insurance is a major concern for many families.,./Sentences/Sociedad estadounidense/audio/11_Sociedad estadounidense_audio.mp3
12,Los derechos humanos deben ser respetados en todas partes del mundo.,Human rights must be respected everywhere in the world.,./Sentences/Sociedad estadounidense/audio/12_Sociedad estadounidense_audio.mp3
13,Los derechos civiles son fundamentales para una sociedad justa.,Civil rights are fundamental for a just society.,./Sentences/Sociedad estadounidense/audio/13_Sociedad estadounidense_audio.mp3
14,La guerra contra la pobreza requiere esfuerzos sostenidos y políticas efectivas.,The war on poverty requires sustained efforts and effective policies.,./Sentences/Sociedad estadounidense/audio/14_Sociedad estadounidense_audio.mp3
15,La beneficencia publica juega un papel importante en el apoyo a los necesitados.,Public charity plays an important role in supporting those in need.,./Sentences/Sociedad estadounidense/audio/15_Sociedad estadounidense_audio.mp3
16,La libertad religiosa es un derecho protegido en muchas constituciones.,Religious freedom is a right protected in many constitutions.,./Sentences/Sociedad estadounidense/audio/16_Sociedad estadounidense_audio.mp3
17,La libertad de prensa es esencial para mantener informada a la población.,Freedom of the press is essential for keeping the population informed.,./Sentences/Sociedad estadounidense/audio/17_Sociedad estadounidense_audio.mp3
18,La libertad de expresión permite a las personas compartir sus opiniones libremente.,Freedom of speech allows people to share their opinions freely.,./Sentences/Sociedad estadounidense/audio/18_Sociedad estadounidense_audio.mp3
19,El voluntariado es una forma de contribuir positivamente a la sociedad.,Volunteering is a way to make a positive contribution to society.,./Sentences/Sociedad estadounidense/audio/19_Sociedad estadounidense_audio.mp3
20,"""La Carta de Derechos es fundamental para proteger las libertades individuales en Estados Unidos.",The Bill of Rights is fundamental to protecting individual liberties in the United States.,./Sentences/Sociedad estadounidense/audio/20_Sociedad estadounidense_audio.mp3
21,La generación del milenio enfrenta desafíos únicos en el mercado laboral actual.,The millennial generation faces unique challenges in today's job market.,./Sentences/Sociedad estadounidense/audio/21_Sociedad estadounidense_audio.mp3
22,El movimiento #yoTambien ha impulsado un cambio significativo en la conversación sobre el acoso sexual.,The #MeToo movement has spurred a significant shift in the conversation about sexual harassment.,./Sentences/Sociedad estadounidense/audio/22_Sociedad estadounidense_audio.mp3
23,Es importante verificar las fuentes para evitar compartir las noticias falsas.,It's important to check sources to avoid sharing fake news.,./Sentences/Sociedad estadounidense/audio/23_Sociedad estadounidense_audio.mp3
24,El multiculturalismo enriquece nuestra sociedad con diversas perspectivas y experiencias.,Multiculturalism enriches our society with diverse perspectives and experiences.,./Sentences/Sociedad estadounidense/audio/24_Sociedad estadounidense_audio.mp3
25,El individualismo puede llevar a la gente a enfocarse en sus propios intereses en lugar de en el bien común.,Individualism can lead people to focus on their own interests rather than the common good.,./Sentences/Sociedad estadounidense/audio/25_Sociedad estadounidense_audio.mp3
26,La separación de poderes es esencial para mantener un gobierno equilibrado y justo.,The separation of powers is essential for maintaining a balanced and fair government.,./Sentences/Sociedad estadounidense/audio/26_Sociedad estadounidense_audio.mp3
